positions,artists,titles
1,THE BANGLES,ETERNAL FLAME
2,SIMPLY RED,IF YOU DON'T KNOW ME BY NOW
3,TRANSVISION VAMP,BABY I DON'T CARE
4,HOLLY JOHNSON,AMERICANOS
5,KON KAN,I BEG YOUR PARDON
6,U2 WITH B.B. KING,WHEN LOVE COMES TO TOWN
7,PAULA ABDUL,STRAIGHT UP
8,MADONNA,LIKE A PRAYER
9,FINE YOUNG CANNIBALS,GOOD THING
10,DONNA SUMMER,THIS TIME I KNOW IT'S FOR REAL
11,JASON DONOVAN,TOO MANY BROKEN HEARTS
12,THE CURE,LULLABY
13,SIMPLE MINDS,THIS IS YOUR LAND
14,INXS,MYSTIFY
15,COLDCUT FEATURING LISA STANSFIELD,PEOPLE HOLD ON FT LISA STANSFIELD
16,SOUL II SOUL FEATURING CARON WHEELER,KEEP ON MOVIN' FT CARON WHEELER
17,COOKIE CREW,GOT TO KEEP ON
18,METALLICA,ONE
19,GUNS N' ROSES,PARADISE CITY
20,INNER CITY,AIN'T NOBODY BETTER
21,MIDNIGHT OIL,BEDS ARE BURNING {1989}
22,PAT AND MICK,I HAVEN'T STOPPED DANCING YET
23,THE BEATMASTERS WITH MERLIN,WHO'S IN THE HOUSE?
24,LONDON BOYS,REQUIEM
25,PAUL SIMPSON FEATURING ADEVA,MUSICAL FREEDOM (MOVING ON UP) FT ADEVA
26,DE LA SOUL,ME MYSELF AND I
27,BOBBY BROWN,DON'T BE CRUEL
28,YELLO,OF COURSE I'M LYING
29,T'PAU,ONLY THE LONELY
30,DURAN DURAN,DO YOU BELIEVE IN SHAME?
31,JODY WATLEY,REAL LOVE
32,BLOW MONKEYS,THIS IS YOUR LIFE {1989}
33,THEN JERICO,WHAT DOES IT TAKE
34,ASWAD,BEAUTY'S ONLY SKIN DEEP
35,BARRY MANILOW,PLEASE DON'T BE SCARED
36,SWING OUT SISTER,YOU ON MY MIND
37,REYNOLDS GIRLS,I'D RATHER JACK
38,TEN CITY,DEVOTION
39,NATALIE COLE,MISS YOU LIKE CRAZY
40,WE'VE GOT A FUZZBOX AND WE'RE GONNA USE IT,INTERNATIONAL RESCUE
41,HOUSE OF LOVE,NEVER
42,ROY ORBISON,SHE'S A MYSTERY TO ME
43,THE THE,THE BEAT(EN) GENERATION
44,POP WILL EAT ITSELF,WISE UP SUCKER
45,BROTHER BEYOND,CAN YOU KEEP A SECRET {1989}
46,GLORIA ESTEFAN AND MIAMI SOUND MACHINE,CAN'T STAY AWAY FROM YOU {1989}
47,JOMANDA,MAKE MY BODY ROCK
48,TONI SCOTT,THAT'S HOW I'M LIVING
49,KIRSTY MACCOLL,FREE WORLD
50,ALYSON WILLIAMS,SLEEP TALK
51,ROB BASE AND DJ E-Z ROCK,JOY AND PAIN
52,THE CULT,FIRE WOMAN
53,CHANELLE,ONE MAN
54,THE BEE GEES,ORDINARY LIVES
55,FRAZIER CHORUS,TYPICAL
56,MICHAEL BALL,LOVE CHANGES EVERYTHING
57,A GUY CALLED GERALD,VOODOO RAY
58,HUMANOID,SLAM
59,LUTHER VANDROSS,COME BACK
60,HERNANDEZ,ALL MY LOVE
61,K.C. FLIGHTT,PLANET E
62,JOHNNY NASH,I CAN SEE CLEARLY NOW {1989}
63,BRYAN FERRY,HE'LL HAVE TO GO
64,REID,GOOD TIMES
65,ROXETTE,THE LOOK
66,NEW ORDER,ROUND AND ROUND
67,MICHAEL JACKSON,LEAVE ME ALONE
68,BANANARAMA AND LANANEENEENOONOO,HELP!
69,SAM BROWN,STOP {1989}
70,WATERFRONT,BROKEN ARROW
71,ROACHFORD,FAMILY MAN
72,S-EXPRESS,HEY MUSIC LOVER
73,SIMPLE MINDS,BELFAST CHILD
74,THE BEATLES,GET BACK {1989}
75,1927,THAT'S WHEN I THINK OF YOU
76,MARC ALMOND,ONLY THE MOMENT
77,KEVIN MCDERMOTT,WHEELS OF WONDER
78,LONGSY D,THIS IS SKA
79,WENDY AND LISA,LOLLY LOLLY
80,GERALD ALSTON,ACTIVATED
81,NEW EDITION,CRUCIAL
82,FIVE STAR,WITH EVERY HEARTBEAT
83,BLACK SABBATH,HEADLESS CROSS
84,TIMERIDER,COCOON (THEME FROM 'HITMAN AND HER')
85,MIKE AND THE MECHANICS,NOBODY KNOWS
86,MAYTALS/SKATALITES/PIONEERS/JIMMY CLIFF,PRESSURE DROP EP
87,ROD STEWART,MY HEART CAN'T TELL YOU NO
88,GODFATHERS,SHE GIVES ME LOVE
89,PERRI,I'M THE ONE
90,BEATS WORKIN',BURN OUT - DON'T FADE AWAY
91,LYNNE HAMILTON,ON THE INSIDE
92,CARLY SIMON,LET THE RIVER RUN
93,WILD WEEKEND,BREAKIN' UP BREAKIN' DOWN
94,SHARON DEE CLARKE,SOMETHING SPECIAL
95,ULTRAMAGNETIC MC'S,GIVE THE DRUMMER SOME
96,2 LIVE CREW,YAKETY YAK
97,JOHNNY DIESEL AND THE INJECTORS,DON'T NEED LOVE
98,SMALLTOWN BOYS,BEATSKI MIX
99,JIGSAW,SKY HIGH {1989}
100,CHINA CRISIS,SAINT SAVIOUR SQUARE
