positions,artists,titles
1,THE THREE DEGREES,WHEN WILL I SEE YOU AGAIN
2,GEORGE MCCRAE,ROCK YOUR BABY
3,THE STYLISTICS,YOU MAKE ME FEEL BRAND NEW
4,BAY CITY ROLLERS,SUMMERLOVE SENSATION
5,STEPHANIE DE SYKES AND RAIN,BORN WITH A SMILE ON MY FACE
6,HUES CORPORATION,ROCK THE BOAT
7,MUD,ROCKET
8,JIMMY RUFFIN,WHAT BECOMES OF THE BROKENHEARTED {1974}
9,ERIC CLAPTON,I SHOT THE SHERIFF
10,THE ROLLING STONES,IT'S ONLY ROCK AND ROLL
11,SPARKS,AMATEUR HOUR
12,PAUL MCCARTNEY AND WINGS,BAND ON THE RUN
13,RUBETTES,TONIGHT
14,DONNY & MARIE OSMOND,I'M LEAVING IT ALL UP TO YOU
15,GLITTER BAND,JUST FOR YOU
16,DAVID CASSIDY,PLEASE PLEASE ME
17,BOBBY GOLDSBORO,"HELLO, SUMMERTIME"
18,THE INTRUDERS,"(WIN, PLACE OR SHOW) SHE'S A WINNER"
19,SWEET DREAMS,HONEY HONEY
20,PAUL DA VINCI,YOUR BABY AIN'T YOUR BABY ANYMORE
21,THE DRIFTERS,KISSIN' IN THE BACK ROW
22,GARY PUCKETT AND THE UNION GAP,YOUNG GIRL {1974}
23,COCKNEY REBEL,MR. SOFT
24,CHARLES AZNAVOUR,SHE
25,DIANA ROSS AND MARVIN GAYE,STOP LOOK LISTEN (TO YOUR HEART)
26,BARRY BLUE,MISS HIT AND RUN
27,JIM CAPALDI,IT'S ALL UP TO YOU
28,SYLVIA,Y VIVA ESPANA
29,COZY POWELL,NA NA NA
30,JIM STAFFORD,MY GIRL BILL
31,TERRY JACKS,IF YOU GO AWAY
32,SHOWADDYWADDY,ROCK 'N' ROLL LADY
33,GORDON LIGHTFOOT,SUNDOWN
34,WIZZARD,THIS IS THE STORY OF MY LOVE (BABY)
35,PETERS AND LEE,RAINBOW
36,THE SWEET,THE SIX TEENS
37,JOHN DENVER,ANNIE'S SONG
38,WOMBLES,BANANA ROCK
39,THE CHI-LITES,I FOUND SUNSHINE
40,SLADE,BANGIN' MAN
41,KC AND THE SUNSHINE BAND,QUEEN OF CLUBS
42,CARL DOUGLAS,KUNG FU FIGHTING
43,MARIA MULDAUR,MIDNIGHT AT THE OASIS
44,LOBO,I'D LOVE YOU TO WANT ME
45,NEIL SEDAKA,LAUGHTER IN THE RAIN
46,SHOWADDYWADDY,HEY ROCK AND ROLL
47,MIKE OLDFIELD,THEME FROM TUBULAR BELLS
48,BARRY WHITE,"CAN'T GET ENOUGH OF YOUR LOVE, BABE"
49,FIRST CLASS,BEACH BABY
50,10 C.C.,WALL STREET SHUFFLE
