positions,artists,titles
1,FRANKIE LAINE,I BELIEVE
2,GUY MITCHELL,PRETTY LITTLE BLACK EYED SUSIE
3,GUY MITCHELL,SHE WEARS RED FEATHERS
4,LITA ROZA,(HOW MUCH IS) THAT DOGGIE IN THE WINDOW
4,JOHNSTON BROTHERS,OH HAPPY DAY
5,NAT 'KING' COLE,PRETEND
6,JOHNNIE RAY,SOMEBODY STOLE MY GAL
7,KAY STARR,SIDE BY SIDE
8,STARGAZERS,BROKEN WINGS
9,EDDIE FISHER,DOWNHEARTED
10,DANNY KAYE,WONDERFUL COPENHAGEN
11,BILLY COTTON AND HIS BAND,IN A GOLDEN COACH (THERE'S A HEART OF GOLD)
12,EDDIE FISHER,OUTSIDE OF HEAVEN
