positions,artists,titles
1,ELVIS PRESLEY,ONE NIGHT/I GOT STUNG
2,TEDDY BEARS,TO KNOW HIM IS TO LOVE HIM
3,LITTLE RICHARD,BABY FACE
4,JANE MORGAN,THE DAY THE RAINS CAME
4,SHIRLEY BASSEY,KISS ME HONEY HONEY KISS ME
6,SHIRLEY BASSEY,AS I LOVE YOU
7,CONWAY TWITTY,IT'S ONLY MAKE BELIEVE
8,THE EVERLY BROTHERS,PROBLEMS
9,PLATTERS,SMOKE GETS IN YOUR EYES
10,LONNIE DONEGAN,TOM DOOLEY
11,TOMMY DORSEY ORCHESTRA STARRING WARREN COVINGTON,TEA FOR TWO CHA CHA
12,BIG BOPPER,CHANTILLY LACE
13,KINGSTON TRIO,TOM DOOLEY
14,LORD ROCKINGHAM'S XI,HOOTS MON
15,PERRY COMO,MANDOLINS IN THE MOONLIGHT
16,TOMMY STEELE,COME ON LET'S GO
17,CONNIE FRANCIS,YOU ALWAYS HURT THE ONE YOU LOVE
18,JERRY LEE LEWIS,HIGH SCHOOL CONFIDENTIAL
19,PERRY COMO,LOVE MAKES THE WORLD GO ROUND
20,RONNIE HILTON WITH THE MICHAEL SAMMES SINGERS,THE WORLD OUTSIDE
20,PAUL ANKA,(ALL OF A SUDDEN) MY HEART SINGS
22,AL SAXON,YOU'RE THE TOP CHA
23,RICKY NELSON,SOMEDAY
24,JONI JAMES,THERE MUST BE A WAY
25,CLIFF RICHARD AND THE DRIFTERS,LIVIN' LOVIN' DOLL
26,ROSEMARY JUNE,I'LL BE WITH YOU IN APPLE BLOSSOM TIME
27,FOUR ACES,THE WORLD OUTSIDE
27,ALMA COGAN,LAST NIGHT ON THE BACK PORCH
29,SLIM DUSTY,A PUB WITH NO BEER
30,FRANKIE VAUGHAN,THAT'S MY DOLL
