positions,artists,titles
1,THE HOLLIES,"HE AIN'T HEAVY, HE'S MY BROTHER {1988}"
2,PHIL COLLINS,GROOVY KIND OF LOVE
3,U2,DESIRE
4,WOMACK AND WOMACK,TEARDROPS
5,BILL WITHERS,LOVELY DAY (SUNSHINE MIX)
6,JASON DONOVAN,NOTHING CAN DIVIDE US
7,PET SHOP BOYS,DOMINO DANCING
8,WHITNEY HOUSTON,ONE MOMENT IN TIME
9,INNER CITY,BIG FUN
10,RICK ASTLEY,SHE WANTS TO DANCE WITH ME
11,THE PROCLAIMERS,I'M GONNA BE (500 MILES)
12,YELLO,THE RACE
13,THE PASADENAS,RIDING ON A TRAIN
14,BROS,I QUIT
15,GLORIA ESTEFAN AND MIAMI SOUND MACHINE,ANYTHING FOR YOU
16,YAZZ AND THE PLASTIC POPULATION,THE ONLY WAY IS UP
17,BON JOVI,BAD MEDICINE
18,THE COMMODORES,EASY {1988}
19,ERASURE,A LITTLE RESPECT
20,DURAN DURAN,I DON'T WANT YOUR LOVE
21,BOMB THE BASS,MEGABLAST/DON'T MAKE ME WAIT
22,SALT-N-PEPA FEATURING EU,SHAKE YOUR THANG (IT'S YOUR THING) FT EU
23,BROTHER BEYOND,THE HARDER I TRY
24,ALEXANDER O'NEAL,FAKE '88
25,BOBBY MCFERRIN,DON'T WORRY BE HAPPY
26,JANE WIEDLIN,RUSH HOUR
27,COLDCUT FEATURING JUNIOR REID,STOP THIS CRAZY THING FT JUNIOR REID
28,BANANARAMA,"LOVE, TRUTH AND HONESTY"
29,HAZELL DEAN,TURN IT INTO LOVE
30,TRANSVISION VAMP,REVOLUTION BABY
31,MICHAEL JACKSON,ANOTHER PART OF ME
32,BRUCE SPRINGSTEEN,SPARE PARTS
33,JULIO IGLESIAS,MY LOVE FT STEVIE WONDER
34,WEE PAPA GIRL RAPPERS,WEE RULE
35,BELINDA CARLISLE,WORLD WITHOUT YOU
36,MARC ALMOND,TEARS RUN RINGS
37,T'PAU,SECRET GARDEN
38,SINITTA,I DON'T BELIEVE IN MIRACLES
39,BREATHE,HANDS TO HEAVEN
40,KYLIE MINOGUE,THE LOCO-MOTION
41,A-HA,TOUCHY!
42,THE WEDDING PRESENT,WHY ARE YOU BEING SO REASONABLE NOW
43,SPEAR OF DESTINY,SO IN LOVE WITH YOU
44,THE BEATMASTERS WITH PP ARNOLD,BURN IT UP
45,ROYAL HOUSE,CAN YOU PARTY
46,GARY NUMAN,NEW ANGER
47,THE WONDER STUFF,IT'S YER MONEY I'M AFTER BABY
48,SPAGNA,EVERY GIRL AND BOY
49,B.V.S.M.P.,I NEED YOU
50,KIM WILDE,NEVER TRUST A STRANGER
51,SABRINA,ALL OF ME
52,GUNS N' ROSES,SWEET CHILD O' MINE
53,JULIAN COPE,CHARLOTTE ANNE
54,PAT BENATAR,DON'T WALK AWAY
55,LEVEL 42,HEAVEN IN MY HANDS
56,JOLLY ROGER,ACID MAN
57,THE FOUR TOPS,INDESTRUCTIBLE FT SMOKEY ROBINSON
58,BILL MEDLEY,"HE AIN'T HEAVY, HE'S MY BROTHER"
59,SWAN LAKE,IN THE NAME OF LOVE
60,BLACK,THE BIG ONE
61,JERMAINE STEWART,DON'T TALK DIRTY TO ME
62,FAIRGROUND ATTRACTION,FIND MY LOVE
63,LOVE AND MONEY,HALLELUJAH MAN
64,BABY FORD,OOCHY KOOCHY
65,EIGHTH WONDER,BABY BABY
66,ASSOCIATES,HEART OF GLASS
67,TANITA TIKARAM,GOOD TRADITION
68,MAC BAND,STALEMATE
69,MILLI VANILLI,GIRL YOU KNOW IT'S TRUE
70,ASWAD,SET THEM FREE
71,WILL DOWNING,FREE
72,KID 'N' PLAY,GITTIN' FUNKY
73,STETSASONIC,TALKIN' ALL THAT JAZZ
74,BIG COUNTRY,KING OF EMOTION
75,HOT HOUSE,DON'T COME TO STAY {1988}
76,STEVEN DANTE,IMAGINATION
77,CHEAP TRICK,DON'T BE CRUEL
78,DOGS D'AMOUR,I DON'T WANT YOU TO GO
79,REID,ONE WAY OUT
80,MICHELLE SHOCKED,ANCHORAGE
81,FUNKY WORM,HUSTLE! (TO THE MUSIC...)
82,PETER CETERA,ONE GOOD WOMAN
83,THE HOTHOUSE FLOWERS,EASIER IN THE MORNING
84,ZIGGY MARLEY,TUMBLIN' DOWN
85,TALK TALK,I BELIEVE IN YOU
86,BVSMP,ANYTIME
87,LABI SIFFRE,LISTEN TO THE VOICES
88,JOHN FARNHAM,AGE OF REASON
89,PREFAB SPROUT,CARS AND GIRLS
90,LATOYA JACKSON,YOU'RE GONNA GET ROCKED
91,THE PASADENAS,TRIBUTE (RIGHT ON)
92,STRYPER,ALWAYS THERE FOR YOU
93,PIECES OF A DREAM,RISING TO THE TOP
94,TONY TERRY,YOUNG LOVE
95,BIG BAM BOO,FELL OFF A MOUNTAIN
96,BLUE MODERNE,DO THAT AGAIN
97,JAMES TAYLOR QUARTET,THEME FROM 'STARSKY AND HUTCH'
98,AMY GRANT,LEAD ME ON
99,OLIVIA NEWTON-JOHN,THE RUMOUR
100,GAIL ANN DORSEY,WASTED COUNTRY
