positions,artists,titles
1,FRANKIE LAINE,I BELIEVE
2,MANTOVANI,THE SONG FROM THE MOULIN ROUGE
3,RON GOODWIN,TERRY'S THEME FROM 'LIMELIGHT'
4,MURIEL SMITH,HOLD ME THRILL ME KISS ME
5,FRANK CHACKSFIELD,TERRY'S THEME FROM 'LIMELIGHT'
6,TED HEATH AND HIS MUSIC,HOT TODDY
7,EDDIE FISHER WITH SALLY SWEETLAND,I'M WALKING BEHIND YOU
8,NAT 'KING' COLE,PRETEND
9,DORIS DAY AND JOHNNIE RAY,LET'S WALK THAT-A-WAY
9,JIMMY YOUNG,ETERNALLY
10,GISELE MACKENZIE,SEVEN LONELY DAYS
11,NAT KING COLE,CAN'T I?
12,JUNE HUTTON AND AXEL STORDAHL WITH THE BOYS NEXT DOOR,SAY YOU'RE MINE AGAIN
