positions,artists,titles
1,MEAT LOAF,I'D DO ANYTHING FOR LOVE (BUT I WON'T DO THAT)
2,BRYAN ADAMS,PLEASE FORGIVE ME
3,DINA CARROLL,DON'T BE A STRANGER
4,CULTURE BEAT,GOT TO GET IT
5,URBAN COOKIE COLLECTIVE,FEELS LIKE HEAVEN
6,CAPPELLA,U GOT 2 LET THE MUSIC
7,SOUL ASYLUM,RUNAWAY TRAIN {1993 RE-RELEASE}
8,ELTON JOHN AND KIKI DEE,TRUE LOVE
9,GUNS N' ROSES,AIN'T IT FUN
10,GOODMEN,GIVE IT UP {1993 RE-RELEASE}
11,MARIAH CAREY,HERO
12,JANET JACKSON,AGAIN
13,THE ORB,LITTLE FLUFFY CLOUDS {1993}
14,THE TIME FREQUENCY,REAL LOVE '93
15,PAULINE HENRY,FEEL LIKE MAKING LOVE
16,MICHAEL BOLTON,SAID I LOVED YOU BUT I LIED
17,2 UNLIMITED,MAXIMUM OVERDRIVE
18,FRANKIE GOES TO HOLLYWOOD,WELCOME TO THE PLEASUREDOME {1993}
19,LEFTFIELD LYDON,OPEN UP
20,LESLEY GARRETT AND AMANDA THOMPSON,AVE MARIA
21,STING,DEMOLITION MAN
22,TERENCE TRENT D'ARBY,LET HER DOWN EASY
23,CAPTAIN HOLLYWOOD PROJECT,MORE AND MORE
24,DJ JAZZY JEFF AND THE FRESH PRINCE,I'M LOOKING FOR THE ONE TO BE WITH ME
25,JAMES,LAID
26,HEART,WILL YOU BE THERE (IN THE MORNING)
27,CROWDED HOUSE,NAILS IN MY FEET
28,AEROSMITH,CRYIN'
29,HOUSE OF VIRGINISM,I'LL BE THERE FOR YOU (DOOYA DOODOO DOYA)
30,WET WET WET,SHED A TEAR
31,THE SHAMEN,THE SOS EP
32,WHITNEY HOUSTON,QUEEN OF THE NIGHT
33,DJ JAZZY JEFF AND THE FRESH PRINCE,BOOM! SHAKE THE ROOM
34,BJORK WITH DAVID ARNOLD,PLAY DEAD
35,GURU FEATURING DC LEE,NO TIME TO PLAY FT DC LEE
36,ETERNAL,STAY
37,CYNDI LAUPER,THAT'S WHAT I THINK
38,M PEOPLE,MOVING ON UP
39,BARRY MANILOW,COULD IT BE MAGIC 1993
40,PAUL WELLER,WEAVER EP
41,JUDY CHEEKS,SO IN LOVE (THE REAL DEAL)
42,ACE OF BASE,HAPPY NATION
43,INCOGNITO,GIVIN' IT UP
44,RICK ASTLEY,HOPELESSLY
45,SOUL II SOUL,WISH
46,TAKE THAT FEATURING LULU,RELIGHT MY FIRE
47,AIMEE MANN,STUPID THING
48,DAVID HASSELHOFF,IF I COULD SAY GOODBYE
49,XSCAPE,JUST KICKIN' IT
50,CLUBHOUSE FEATURING CARL,LIGHT MY FIRE FT CARL
51,FAITH NO MORE AND BOO-YAA TRIBE,ANOTHER BODY MURDERED
52,PHIL COLLINS,BOTH SIDES OF THE STORY
53,THE WILDHEARTS,TV TAN
54,TINA TURNER,WHY MUST WE WAIT UNTIL TONIGHT
55,LEVELLERS,THIS GARDEN
56,WHYCLIFFE,HEAVEN
57,JOMANDA,NEVER
58,CHRIS REA,JULIA
59,MR BIG,WILD WORLD
60,CHAKA DEMUS AND PLIERS,SHE DON'T LET NOBODY
61,BEVERLEY CRAVEN,MOLLIE'S SONG
62,COLOR ME BADD,TIME AND CHANCE
63,LISA STANSFIELD,SO NATURAL
64,ROY ORBISON,I DROVE ALL NIGHT
65,SOUND OF ONE FEATURING GLADEZZ,AS I AM FT GLADEZZ
66,DAVID MORALES AND THE BAD YARD CLUB,THE PROGRAM
67,THE PRODIGY,ONE LOVE
68,KENNY THOMAS,PIECE BY PIECE
69,HADDAWAY,LIFE
70,THE FUTURE SOUND OF LONDON,CASCADE
71,MARY CHAPIN CARPENTER,HE THINKS HE'LL KEEP HER
72,AIR SUPPLY,GOODBYE
73,JULIET ROBERTS,FREE LOVE
74,LENA FIAGBE,GOTTA GET IT RIGHT
75,R KELLY AND PUBLIC ANNOUNCEMENT,SEX ME
