positions,artists,titles
1,THE ROLLING STONES,LITTLE RED ROOSTER
2,GENE PITNEY,I'M GONNA BE STRONG
3,THE SUPREMES,BABY LOVE
4,PETULA CLARK,DOWNTOWN
5,THE KINKS,ALL DAY AND ALL OF THE NIGHT
6,THE BEATLES,I FEEL FINE
7,WAYNE FONTANA AND THE MINDBENDERS,"UM, UM, UM, UM, UM, UM"
8,JIM REEVES,THERE'S A HEARTACHE FOLLOWING ME
9,DUSTY SPRINGFIELD,LOSING YOU
10,ROCKIN' BERRIES,HE'S IN TOWN
11,VAL DOONICAN,WALK TALL
12,ROY ORBISON,PRETTY PAPER
13,PRETTY THINGS,DON'T BRING ME DOWN
14,MANFRED MANN,SHA LA LA
15,HELMUT ZACHARIAS,TOKYO MELODY
16,ROY ORBISON,"OH, PRETTY WOMAN"
17,FREDDIE AND THE DREAMERS,I UNDERSTAND
18,MATT MONRO,WALK AWAY
19,HERMAN'S HERMITS,SHOW ME GIRL
20,FOUR PENNIES,BLACK GIRL
21,ADAM FAITH,MESSAGE TO MARTHA (KENTUCKY BLUEBIRD)
22,JULIE ROGERS,THE WEDDING
23,SHANGRI-LAS,REMEMBER (WALKIN' IN THE SAND)
24,SANDIE SHAW,(THERE'S) ALWAYS SOMETHING THERE TO REMIND ME
25,NASHVILLE TEENS,GOOGLE EYE
26,ELVIS PRESLEY,AIN'T THAT LOVING YOU BABY
27,THE BEACH BOYS,WHEN I GROW UP (TO BE A MAN)
28,MARTHA AND THE VANDELLAS,DANCING IN THE STREET
29,CLIFF RICHARD,TWELFTH OF NEVER
30,TWINKLE,TERRY
31,KEN DODD,SO DEEP IS THE NIGHT
32,THE SEARCHERS,WHEN YOU WALK IN THE ROOM
33,SHIRLEY BASSEY,GOLDFINGER
34,THE SHADOWS,GENIE WITH THE LIGHT BROWN LAMP
35,FOURMOST,BABY I NEED YOUR LOVIN'
36,THE SUPREMES,WHERE DID OUR LOVE GO
37,LOU JOHNSON,MESSAGE TO MARTHA
38,TOMMY QUICKLY AND THE REMO FOUR,WILD SIDE OF LIFE
39,JIM REEVES,I WON'T FORGET YOU
40,DORIS TROY,WHATCHA GONNA DO ABOUT IT
41,DAVE BERRY,ONE HEART BETWEEN TWO
42,THE EVERLY BROTHERS,GONE GONE GONE
43,SOUNDS ORCHESTRAL,CAST YOUR FATE TO THE WIND
44,ELVIS PRESLEY,BLUE CHRISTMAS
45,YARDBIRDS,GOOD MORNING LITTLE SCHOOLGIRL
46,THE BACHELORS,NO ARMS CAN EVER HOLD YOU
47,HENRY MANCINI ORCHESTRA,HOW SOON?
48,MIGHTY AVENGERS,SO MUCH IN LOVE
49,THE SEARCHERS,WHAT HAVE THEY DONE TO THE RAIN?
50,DEAN MARTIN,THE DOOR IS STILL OPEN TO MY HEART
