positions,artists,titles
1,THE BEATLES,FROM ME TO YOU
2,GERRY AND THE PACEMAKERS,HOW DO YOU DO IT?
3,NED MILLER,FROM A JACK TO A KING
4,FRANK IFIELD,NOBODY'S DARLIN' BUT MINE
5,ANDY WILLIAMS,CAN'T GET USED TO LOSING YOU
6,ROY ORBISON,IN DREAMS
7,JET HARRIS AND TONY MEEHAN,SCARLETT O'HARA
8,SPRINGFIELDS,SAY I WON'T BE THERE
9,DEL SHANNON,TWO KINDS OF TEARDROPS
10,BRENDA LEE,LOSING YOU
11,BUDDY HOLLY,BROWN-EYED HANDSOME MAN
12,CASCADES,RHYTHM OF THE RAIN
13,TOMMY ROE,THE FOLK SINGER
14,THE FOUR SEASONS,WALK LIKE A MAN
15,THE SHADOWS,FOOT TAPPER
16,CHIFFONS,HE'S SO FINE
17,BILLY J KRAMER AND THE DAKOTAS,DO YOU WANT TO KNOW A SECRET?
18,PAUL AND PAULA,YOUNG LOVERS
19,CLIFF RICHARD,SUMMER HOLIDAY
20,RONNIE CARROLL,SAY WONDERFUL THINGS
21,CLIFF RICHARD,LUCKY LIPS
22,WINK MARTINDALE,DECK OF CARDS {1963}
23,BILLY FURY,LIKE I'VE NEVER BEEN GONE
24,LITTLE EVA,LET'S TURKEY TROT
25,SKEETER DAVIS,END OF THE WORLD
26,THE BACHELORS,CHARMAINE
27,KENNY BALL AND HIS JAZZMEN,CASABLANCA
28,TORNADOS,ROBOT
29,EDDIE COCHRAN,MY WAY
30,JULIE GRANT,COUNT ON ME
31,SPRINGFIELDS,ISLAND OF DREAMS
32,CHANTAYS,PIPELINE
33,THE EVERLY BROTHERS,SO IT WILL ALWAYS BE
34,MIKE BERRY AND THE OUTLAWS,MY LITTLE BABY
35,HELEN SHAPIRO,WOE IS ME
36,SPOTNICKS,JUST LISTEN TO MY HEART
37,FREDDIE AND THE DREAMERS,IF YOU GOTTA MAKE A FOOL OF SOMEBODY
38,MIKE SARNE,CODE OF LOVE
39,JAMES GILREATH,LITTLE BAND OF GOLD
40,JOE BROWN,THAT'S WHAT LOVE WILL DO
41,THE BEATLES,PLEASE PLEASE ME
42,PETULA CLARK,CASANOVA/CHARIOT
43,JOHNNY CYMBAL,MR. BASS MAN
44,DON SPENCER,FIREBALL
45,JOHN LEYTON,CUPBOARD LOVE
46,BIG THREE,SOME OTHER GUY
47,KARL DENVER,CAN YOU FORGIVE ME
48,SUSAN MAUGHAN,SHE'S NEW TO YOU
49,JOHNNY TILLOTSON,OUT OF MY MIND
50,BRENDA LEE,ALL ALONE AM I
