positions,artists,titles
1,RUBETTES,SUGAR BABY LOVE
2,ABBA,WATERLOO
3,PETERS AND LEE,DON'T STAY AWAY TOO LONG
4,BAY CITY ROLLERS,SHANG-A-LANG
5,WOMBLES,REMEMBER YOU'RE A WOMBLE
6,WIZZARD,ROCK AND ROLL WINTER
7,PAPER LACE,THE NIGHT CHICAGO DIED
8,THE CHI-LITES,HOMELY GIRL
9,SPARKS,THIS TOWN AIN'T BIG ENOUGH FOR BOTH OF US
10,ALVIN STARDUST,RED DRESS
11,STEVIE WONDER,HE'S MISSTRA KNOW-IT-ALL
12,LIMMIE AND THE FAMILY COOKIN',A WALKIN' MIRACLE
13,THE THREE DEGREES,YEAR OF DECISION
14,JIM STAFFORD,SPIDERS AND SNAKES
15,THE OSMONDS,I CAN'T STOP
16,CHARLIE RICH,BEHIND CLOSED DOORS
17,MUD,THE CAT CREPT IN
18,STATUS QUO,BREAK THE RULES
19,MUNGO JERRY,LONG LEGGED WOMAN DRESSED IN BLACK
20,TERRY JACKS,SEASONS IN THE SUN
21,DAVID CASSIDY,IF I DIDN'T CARE
22,GIGLIOLA CINQUETTI,GO (BEFORE YOU BREAK MY HEART)
23,SUNNY,DOCTOR'S ORDERS
24,R. DEAN TAYLOR,THERE'S A GHOST IN MY HOUSE
25,MFSB,TSOP (THE SOUND OF PHILADELPHIA)
26,DAVID BOWIE,ROCK AND ROLL SUICIDE
27,DIANA ROSS AND MARVIN GAYE,YOU ARE EVERYTHING
28,MARVIN HAMLISCH,THE ENTERTAINER
29,MOUTH AND MACNEAL,I SEE A STAR
30,GLITTER BAND,ANGEL FACE
31,WOMBLES,WOMBLING SONG
32,DAVID ESSEX,AMERICA
33,COCKNEY REBEL,JUDY TEEN
34,CLIFF RICHARD,(YOU KEEP ME) HANGING ON
35,BILL HALEY AND HIS COMETS,ROCK AROUND THE CLOCK {1974}
36,LITTLE JIMMY OSMOND,I'M GONNA KNOCK ON YOUR DOOR
37,DIANA ROSS,LAST TIME I SAW HIM
38,MILLICAN AND NESBITT,FOR OLD TIMES SAKE
39,THE INTRUDERS,I'LL ALWAYS LOVE MY MAMA
40,ACT ONE,TOM THE PEEPER
41,GENESIS,I KNOW WHAT I LIKE (IN YOUR WARDROBE)
42,HARRY CHAPIN,W.O.L.D.
43,SLADE,EVERYDAY
44,SHOWADDYWADDY,HEY ROCK AND ROLL
45,HAROLD MELVIN AND THE BLUENOTES,SATISFACTION GUARANTEED
46,CHARLIE RICH,THE MOST BEAUTIFUL GIRL
47,GARY GLITTER,REMEMBER ME THIS WAY
48,PAPER LACE,BILLY - DON'T BE A HERO
49,HOT CHOCOLATE,EMMA
50,ANDY WILLIAMS,GETTING OVER YOU
