positions,artists,titles
1,CHARLENE,I'VE NEVER BEEN TO ME
2,ADAM ANT,GOODY TWO SHOES
3,SOFT CELL,TORCH
4,KID CREOLE AND THE COCONUTS,"I'M A WONDERFUL THING, BABY"
5,DURAN DURAN,HUNGRY LIKE THE WOLF
6,ABC,THE LOOK OF LOVE
7,ODYSSEY,INSIDE OUT
8,DIANA ROSS,WORK THAT BODY
9,BOW WOW WOW,I WANT CANDY
10,STEVIE WONDER,DO I DO
11,GARY NUMAN,WE TAKE MYSTERY (TO BED)
12,THE STEVE MILLER BAND,ABRACADABRA
13,ROXY MUSIC,AVALON
14,MADNESS,HOUSE OF FUN
15,TIGHT FIT,FANTASY ISLAND
16,NATASHA,IKO IKO
17,JUNIOR,MAMA USED TO SAY
18,THE BEATLES,THE BEATLES MOVIE MEDLEY
19,MIDGE URE,NO REGRETS
20,GENESIS,3 X 3 (EP)
21,YAZOO,ONLY YOU
22,QUEEN,LAS PALABRAS DE AMOR
23,ECHO & THE BUNNYMEN,THE BACK OF LOVE
24,TOYAH,BRAVE NEW WORLD
25,SHALAMAR,A NIGHT TO REMEMBER
26,THE ROLLING STONES,GOING TO A GO GO
27,THE FUN BOY THREE,THE TELEPHONE ALWAYS RINGS
28,CHERI,MURPHY'S LAW
29,ASSOCIATES,CLUB COUNTRY
30,BLONDIE,ISLAND OF LOST SOULS
31,IMAGINATION,MUSIC AND LIGHTS
32,SIOUXSIE AND THE BANSHEES,FIREWORKS
33,CAPTAIN SENSIBLE,HAPPY TALK
34,A FLOCK OF SEAGULLS,SPACE AGE LOVE SONG
35,PRELUDE,AFTER THE GOLD RUSH {1982}
36,STATUS QUO,SHE DON'T FOOL ME
37,BUCKS FIZZ,NOW THOSE DAYS ARE GONE
38,LEO SAYER,HEART (STOP BEATING IN TIME)
39,DOLLAR,VIDEOTHEQUE
40,SHAKATAK,STREETWALKIN'
41,THE BELLE STARS,IKO IKO
42,BAUHAUS,SPIRIT
43,LYNYRD SKYNYRD,FREE BIRD
44,THE TEARDROP EXPLODES,TINY CHILDREN
45,MIKE OLDFIELD,FAMILY MAN
46,NEW ORDER,TEMPTATION
47,PHD,I WON'T LET YOU DOWN
48,PATRICE RUSHEN,FORGET ME NOTS
49,IRON MAIDEN,THE NUMBER OF THE BEAST
50,NICOLE,A LITTLE PEACE
51,ELTON JOHN,EMPTY GARDEN
52,ELVIS COSTELLO AND THE ATTRACTIONS,YOU LITTLE FOOL
53,SCOTLAND WORLD CUP SQUAD,WE HAVE A DREAM
54,TEMPTATIONS FEATURING RICK JAMES,STANDING AT THE TOP (PART 1) FT RICK JAMES
55,HOT CHOCOLATE,GIRL CRAZY
56,UB40,LOVE IS ALL IS ALL RIGHT
57,PARIS,NO GETTING OVER YOU
58,THE CARS,SINCE YOU'RE GONE
59,VISAGE,NIGHT TRAIN
60,BERTIE HIGGINS,KEY LARGO
61,DAVID ESSEX,ME AND MY GIRL (NIGHT-CLUBBING)
62,THE FOUR TOPS,BACK TO SCHOOL AGAIN
63,THE J GEILS BAND,ANGEL IN BLUE
64,ENGLAND WORLD CUP SQUAD,THIS TIME (WE'LL GET IT RIGHT)
65,BLUE ZOO,I'M YOUR MAN
66,ADRIAN GURVITZ,YOUR DREAM
67,BILLY FIELD,YOU WEREN'T IN LOVE WITH ME
68,THE CLASH,ROCK THE CASBAH
69,JOAN JETT AND THE BLACKHEARTS,I LOVE ROCK 'N ROLL
70,QUICK,RHYTHM OF THE JUNGLE
71,JAPAN,CANTONESE BOY
72,DEPECHE MODE,THE MEANING OF LOVE
73,ALTERED IMAGES,PINKY BLUE
74,RANDY CRAWFORD,ONE HELLO
75,ELVIS PRESLEY WITH THE IMPERIALS QUARTET,THE SOUND OF YOUR CRY
