positions,artists,titles
1,EAST 17,STAY ANOTHER DAY
2,MARIAH CAREY,ALL I WANT FOR CHRISTMAS IS YOU
3,OASIS,WHATEVER
4,BOYZONE,LOVE ME FOR A REASON
5,REDNEX,COTTON EYE JOE
6,CELINE DION,THINK TWICE
7,JIMMY NAIL,CROCODILE SHOES
8,ZIG AND ZAG,THEM GIRLS THEM GIRLS
9,MIGHTY MORPH'N POWER RANGERS,POWER RANGERS
10,LOUIS ARMSTRONG,WE HAVE ALL THE TIME IN THE WORLD
11,BON JOVI,PLEASE COME HOME FOR CHRISTMAS
12,GLORIA ESTEFAN,"HOLD ME, THRILL ME, KISS ME"
13,WHIGFIELD,ANOTHER DAY
14,BABY D,LET ME BE YOUR FANTASY
15,BILL WHELAN,RIVER DANCE
16,PJ & DUNCAN,ETERNAL LOVE
17,PATO BANTON,BABY COME BACK
18,MADONNA,TAKE A BOW
19,ETERNAL,CRAZY
20,(MC SAR &) THE REAL MCCOY,ANOTHER NIGHT
21,CLIFF RICHARD WITH PHIL EVERLY,ALL I HAVE TO DO IS DREAM
22,WHIGFIELD,SATURDAY NIGHT
23,M-BEAT FEATURING NAZLYN,SWEET LOVE
24,ETERNAL,OH BABY I...
25,BON JOVI,ALWAYS
26,SHERYL CROW,ALL I WANNA DO
27,M PEOPLE,SIGHT FOR SORE EYES
28,MICHELLE GAYLE,I'LL FIND YOU
29,KYLIE MINOGUE,PUT YOURSELF IN MY PLACE
30,2 IN A TENT,WHEN I'M CLEANING WINDOWS (TURNED OUT...
31,E.Y.C,ONE MORE CHANCE
32,JOE COCKER,LET THE HEALING BEGIN
33,STRIKE,U SURE DO
34,BLACK DUCK,WHIGGLE IN LINE
35,STONE ROSES,LOVE SPREADS
36,2WO THIRD3,I WANT TO BE ALONE
37,WET WET WET,LOVE IS ALL AROUND
38,R KELLY,SHE'S GOT THAT VIBE
39,ROBERT PALMER,YOU BLOW ME AWAY
40,ERASURE,I LOVE SATURDAY
41,C J LEWIS,DOLLARS
42,GRID,TEXAS COWBOYS
43,SINEAD O'CONNOR,THANK YOU FOR HEARING ME
44,TAKE THAT,SURE
45,PEREZ 'PREZ' PRADO & HIS ORCH,GUAGLIONE
46,REEL 2 REAL FEAT MAD STUNTMAN,RAISE YOUR HANDS
47,MICHELLE GAYLE,SWEETNESS
48,JIMMY PAGE & ROBERT PLANT,GALLOWS POLE
49,RED DRAGON WITH BRIAN AND TONY,COMPLIMENTS ON YOUR KISS
50,ICE CUBE,YOU KNOW HOW WE DO IT
51,CARPENTERS,TRYIN' TO GET THE FEELING AGAIN
52,LET LOOSE,CRAZY FOR YOU
53,BYKER GROOOVE!,LOVE YOUR SEXY...!!
54,CHINA BLACK,SEARCHING
55,NEW ORDER,TRUE FAITH - 94
56,CRANBERRIES,ODE TO MY FAMILY
57,BOMB THE BASS/SPIKEY TEE,DARKHEART
58,ROLLING STONES,OUT OF TEARS
59,ROXETTE,RUN TO YOU
60,YOUSSOU N'DOUR FT NENEH CHERRY,7 SECONDS
61,JAMIROQUAI,HALF THE MAN
62,TOM JONES,IF I ONLY KNEW
63,JOE LONGTHORNE & LIZ DAWN,PASSING STRANGERS
64,ERIC IDLE FEAT RICHARD WILSON,ONE FOOT IN THE GRAVE
65,MIKE OLDFIELD,HIBERNACULUM
66,JULIO IGLESIAS,FRAGILE
67,NEW ATLANTIC/U4EA FT BERRI,THE SUNSHINE AFTER THE RAIN
68,BOYZ II MEN,I'LL MAKE LOVE TO YOU
69,OASIS,CIGARETTES & ALCOHOL
70,THROWING MUSES,BRIGHT YELLOW GUN
71,CORONA,THE RHYTHM OF THE NIGHT
72,WARREN G,THIS DJ
73,MARY J BLIGE,BE HAPPY
74,SEAN MAGUIRE,TAKE THIS TIME
75,HEARTBEAT COUNTRY,HEARTBEAT
76,KYLIE MINOGUE,CONFIDE IN ME
77,LET LOOSE,SEVENTEEN
78,ULTIMATE KAOS,SOME GIRLS
79,BEAUTIFUL SOUTH,ONE LAST LOVE SONG
80,MR BLOBBY,MR BLOBBY
81,BLUR,END OF A CENTURY
82,ALL-4-ONE,I SWEAR
83,STING,WHEN WE DANCE
84,CHRIS REA,TELL ME THERE'S A HEAVEN
85,LUTHER VANDROSS & MARIAH CAREY,ENDLESS LOVE
86,SUEDE,THE WILD ONES
87,C J LEWIS,BEST OF MY LOVE
88,EAST 17,STEAM
89,SALT N PEPA,NONE OF YOUR BUSINESS
90,REM,BANG AND BLAME
91,M-BEAT FEAT GENERAL LEVY,INCREDIBLE
92,STABBS,JOY & HAPPINESS
93,PEARL JAM,SPIN THE BLACK CIRCLE
94,MASSIVE ATTACK,SLY
95,AEROSMITH,CRAZY/BLIND MAN
96,CHINA BLACK,STARS
97,WARREN G & NATE DOGG,REGULATE
98,BEASTIE BOYS,SURE SHOT
99,BILL TARMEY,I.O.U.
100,BRAND NEW HEAVIES,SPEND SOME TIME
