positions,artists,titles
1,RUBY MURRAY,SOFTLY SOFTLY
2,ROSEMARY CLOONEY AND THE MELLOMEN,MAMBO ITALIANO
3,TENNESSEE ERNIE FORD,GIVE ME YOUR WORD
4,DICKIE VALENTINE WITH THE STARGAZERS,THE FINGER OF SUSPICION
5,RUBY MURRAY,HEARTBEAT
6,DEAN MARTIN,THE NAUGHTY LADY OF SHADY LANE
7,BILL HALEY AND HIS COMETS,"SHAKE, RATTLE AND ROLL"
8,AMES BROTHERS,THE NAUGHTY LADY OF SHADY LANE
9,TERESA BREWER WITH THE LANCERS,LET ME GO LOVER
10,BILLY ECKSTINE,NO ONE BUT YOU
11,RUBY MURRAY,HAPPY DAYS AND LONELY NIGHTS
12,DAVID WHITFIELD WITH MANTOVANI AND HIS ORCHESTRA,BEYOND THE STARS
13,DICKIE VALENTINE,MR SANDMAN
14,RAY BURNS,MOBILE
15,DICKIE VALENTINE,A BLOSSOM FELL
16,JOAN WEBER,LET ME GO LOVER
17,PETULA CLARK,MAJORCA
18,MARIO LANZA,I'LL WALK WITH GOD
19,RONNIE HILTON,I STILL BELIEVE
20,MANTOVANI,LONELY BALLERINA
