positions,artists,titles
1,GERRY AND THE PACEMAKERS,YOU'LL NEVER WALK ALONE
2,THE BEATLES,SHE LOVES YOU
3,BRIAN POOLE AND THE TREMELOES,DO YOU LOVE ME?
4,ROY ORBISON,BLUE BAYOU/MEAN WOMAN BLUES
5,CRYSTALS,THEN HE KISSED ME
6,TRINI LOPEZ,IF I HAD A HAMMER
7,SHIRLEY BASSEY,I (WHO HAVE NOTHING)
8,THE SEARCHERS,SUGAR AND SPICE
9,CHUCK BERRY,LET IT ROCK/MEMPHIS TENNESSEE
10,ADAM FAITH,THE FIRST TIME
11,RONETTES,BE MY BABY
12,FOURMOST,HELLO LITTLE GIRL
13,ELVIS PRESLEY,BOSSA NOVA BABY
14,ALLAN SHERMAN,HELLO MUDDAH! HELLO FADDUH!
15,TOMMY ROE,EVERYBODY
16,RICK NELSON,FOOLS RUSH IN
17,JIMMY YOUNG,MISS YOU
18,THE SHADOWS,SHINDIG
19,THE HOLLIES,SEARCHIN'
20,KARL DENVER,STILL
21,"PETER, PAUL AND MARY",BLOWING IN THE WIND
22,JET HARRIS AND TONY MEEHAN,APPLEJACK
23,BUDDY HOLLY,WISHING
24,DAVE BERRY AND THE CRUISERS,MEMPHIS TENNESSEE
25,THE EVERLY BROTHERS,GIRL SANG THE BLUES
26,FRANK IFIELD,MULE TRAIN
27,HEINZ,JUST LIKE EDDIE
28,MERSEYBEATS,IT'S LOVE THAT REALLY COUNTS
29,JIM REEVES,GUILTY
30,DEL SHANNON,SUE'S GONNA BE MINE
31,BILLY FURY,SOMEBODY ELSE'S GIRL
32,STEVE LAWRENCE AND EYDIE GORME,I WANT TO STAY HERE
33,CLIFF RICHARD,IT'S ALL IN THE GAME
34,BRENDA LEE,SWEET IMPOSSIBLE YOU
35,CILLA BLACK,LOVE OF THE LOVED
36,THE DAVE CLARK FIVE,DO YOU LOVE ME?
37,KEN DODD,STILL
38,THE DRIFTERS,I'LL TAKE YOU HOME
39,KATHY KIRBY,DANCE ON
40,JOE BROWN,SALLY ANN
41,BO DIDDLEY,PRETTY THING
42,FATS DOMINO,RED SAILS IN THE SUNSET
43,THE BACHELORS,WHISPERING
44,LOS INDIOS TABAJARAS,MARIA ELENA
45,CARAVELLES,YOU DON'T HAVE TO BE A BABY TO CRY
46,CHUBBY CHECKER,WHAT DO YOU SAY
47,HELEN SHAPIRO,LOOK WHO IT IS
48,JOHNNY KIDD AND THE PIRATES,I'LL NEVER GET OVER YOU
49,RAY CHARLES,BUSTED
50,BILLY J KRAMER AND THE DAKOTAS,BAD TO ME
