positions,artists,titles
1,MIKE POSNER,I TOOK A PILL IN IBIZA
2,LUKAS GRAHAM,7 YEARS
3,FIFTH HARMONY FT TY DOLLA SIGN,WORK FROM HOME
4,ZARA LARSSON,LUSH LIFE
5,SIGALA FT IMANI & DJ FRESH,SAY YOU DO
6,RIHANNA FT DRAKE,WORK
7,JONAS BLUE & DAKOTA,FAST CAR
8,SIA,CHEAP THRILLS
9,TINIE TEMPAH FT ZARA LARSSON,GIRLS LIKE
10,ZAYN,PILLOWTALK
11,MAJOR LAZER FT NYLA,LIGHT IT UP
12,SHAWN MENDES,STITCHES
13,JUSTIN BIEBER,LOVE YOURSELF
14,COLDPLAY,HYMN FOR THE WEEKEND
15,G-EAZY FT BEBE REXHA,ME MYSELF & I
16,TWENTY ONE PILOTS,STRESSED OUT
17,BLONDE & CRAIG DAVID,NOTHING LIKE THIS
18,ALAN WALKER,FADED
19,JUSTIN BIEBER,SORRY
20,SELENA GOMEZ,HANDS TO MYSELF
21,DNCE,CAKE BY THE OCEAN
22,LITTLE MIX FT JASON DERULO,SECRET LOVE SONG
23,ADELE,WHEN WE WERE YOUNG
24,SNAKEHIPS FT TINASHE & CHANCE,ALL MY FRIENDS
25,ARIANA GRANDE,DANGEROUS WOMAN
26,JUSTIN BIEBER,WHAT DO YOU MEAN
27,1975,THE SOUND
28,COLDPLAY,ADVENTURE OF A LIFETIME
29,JASON DERULO,GET UGLY
30,MNEK & ZARA LARSSON,NEVER FORGET YOU
31,CHARLIE PUTH,ONE CALL AWAY
32,ONE DIRECTION,HISTORY
33,CHAINSMOKERS FT ROZES,ROSES
34,ELLIE GOULDING,ARMY
35,CRAIG DAVID & BIG NARSTIE,WHEN THE BASSLINE DROPS
36,99 SOULS,GIRL IS MINE (DESTINY'S CHILD & BRANDY)
37,RITON FT KAH-LO,RINSE & REPEAT
38,ADELE,HELLO
39,DAVID GUETTA FT SIA,BANG MY HEAD
40,KYGO FT MATY NOYES,STAY
41,ZAYN,LIKE I WOULD
42,MEGHAN TRAINOR,NO
43,WSTRN,IN2
44,ROBIN SCHULZ FT YATES,SUGAR
45,ALUNAGEORGE FT POPCAAN,I'M IN CONTROL
46,SIGALA FT BRYN CHRISTOPHER,SWEET LOVIN'
47,CALVIN HARRIS & DISCIPLES,HOW DEEP IS YOUR LOVE
48,WEEKND,CAN'T FEEL MY FACE
49,WEEKND,THE HILLS
50,YEARS & YEARS,DESIRE
51,YEARS & YEARS,EYES SHUT
52,RUDIMENTAL FT ED SHEERAN,LAY IT ALL ON ME
53,MAJOR LAZER FT MO & DJ SNAKE,LEAN ON
54,JAMES BAY,BEST FAKE SMILE
55,JAMES BAY,LET IT GO
56,DAWIN,DESSERT
57,SLEEPY TOM & DIPLO,BE RIGHT THERE
58,SIA,CHANDELIER
59,TIESTO/HELDENS/LA ROSE,THE RIGHT SONG
60,JAMES BAY,RUNNING
61,ELLE KING,EX'S & OH'S
62,WALK THE MOON,SHUT UP & DANCE
63,STORMZY,SHUT UP
64,FLO RIDA,MY HOUSE
65,ARIANA GRANDE,BE ALRIGHT
66,JAMES BAY,HOLD BACK THE RIVER
67,ED SHEERAN,PHOTOGRAPH
68,SHAWN MENDES/CAMILA CABELLO,I KNOW WHAT YOU DID LAST SUMMER
69,JESS GLYNNE,DON'T BE SO HARD ON YOURSELF
70,LITTLE MIX,BLACK MAGIC
71,JESS GLYNNE,TAKE ME HOME
72,ALESSIA CARA,HERE
73,FLEUR EAST,SAX
74,FETTY WAP FT MONTY,679
75,NAUGHTY BOY/BEYONCE/A BENJAMIN,RUNNIN' (LOSE IT ALL)
76,GRACE FT G-EAZY,YOU DON'T OWN ME
77,SIGMA FT RITA ORA,COMING HOME
78,BIRDY,WINGS
79,SKRILLEX & DIPLO/JUSTIN BIEBER,WHERE ARE U NOW
80,IGGY AZALEA,TEAM
81,RACHEL PLATTEN,FIGHT SONG
82,DRAKE & FUTURE,JUMPMAN
83,DRAKE,HOTLINE BLING
84,BRYSON TILLER,DON'T
85,ZAYN,BEFOUR
86,MARK RONSON FT BRUNO MARS,UPTOWN FUNK
87,ED SHEERAN,THINKING OUT LOUD
88,DJ SNAKE FT BIPOLAR SUNSHINE,MIDDLE
89,YEARS & YEARS,KING
90,SIA,ALIVE
91,JESS GLYNNE,HOLD MY HAND
92,FETTY WAP,TRAP QUEEN
93,DRAKE,SUMMER SIXTEEN
94,OLLY MURS,KISS ME
95,ANNE-MARIE,DO IT RIGHT
96,HOZIER,TAKE ME TO CHURCH
97,JASON DERULO,WANT TO WANT ME
98,JESS GLYNNE,AIN'T GOT FAR TO GO
99,GEORGE EZRA,BUDAPEST
100,KILLERS,MR BRIGHTSIDE
