positions,artists,titles
1,CLIFF RICHARD,PLEASE DON'T TEASE
2,JOHNNY KIDD AND THE PIRATES,SHAKIN' ALL OVER
3,THE SHADOWS,APACHE
4,ELVIS PRESLEY,A MESS OF BLUES
5,JIMMY JONES,GOOD TIMIN'
6,DUANE EDDY,BECAUSE THEY'RE YOUNG
7,THE EVERLY BROTHERS,WHEN WILL I BE LOVED
8,BRIAN HYLAND,ITSY BITSY TEENIE WEENIE YELLOW POLKA DOT BIKINI
9,GARY MILLS,LOOK FOR A STAR
10,TOMMY BRUCE AND THE BRUISERS,AIN'T MISBEHAVIN'
11,ANTHONY NEWLEY,IF SHE SHOULD COME TO YOU
12,ROLF HARRIS,TIE ME KANGAROO DOWN SPORT
13,BRENDA LEE,I'M SORRY
14,CONNIE FRANCIS,MAMA/ROBOT MAN
15,TOMMY STEELE,WHAT A MOUTH
16,ADAM FAITH,WHEN JOHNNY COMES MARCHING HOME/MADE YOU
17,LONNIE DONEGAN,I WANNA GO HOME
18,MICHAEL COX,ANGELA JONES
19,KEN DODD,LOVE IS LIKE A VIOLIN
20,EDDIE COCHRAN,THREE STEPS TO HEAVEN
21,KAYE SISTERS,PAPER ROSES
22,KING BROTHERS,MAIS OUI
23,SHIRLEY BASSEY,AS LONG AS HE NEEDS ME
24,BERT WEEDON,APACHE
25,GENE VINCENT,PISTOL PACKIN' MAMA
26,JIM REEVES,HE'LL HAVE TO GO
27,BOB AZZAM AND HIS ORCHESTRA,MUSTAPHA
28,HOLLYWOOD ARGYLES,ALLEY OOP
29,JAMES DARREN,BECAUSE THEY'RE YOUNG
30,THE EVERLY BROTHERS,CATHY'S CLOWN
31,ROY ORBISON,ONLY THE LONELY
32,PERCY FAITH,THEME FROM 'A SUMMER PLACE'
33,BUDDY GRECO,THE LADY IS A TRAMP
34,HANK LOCKLIN,PLEASE HELP ME I'M FALLING
35,TOMMY SANDS,THE OLD OAKEN BUCKET
36,FLEE-REKKERS,GREEN JEANS
37,TERESA BREWER,HOW DO YOU KNOW IT'S LOVE
38,FATS DOMINO,WALKING TO NEW ORLEANS
39,FRANK SINATRA,"RIVER, STAY 'WAY FROM MY DOOR"
40,RUSTY DRAPER,MULE SKINNER BLUES
41,JOHNNY AND THE HURRICANES,DOWN YONDER
42,ALMA COGAN,TRAIN OF LOVE
43,CRAIG DOUGLAS,OH! WHAT A DAY
44,JANE MORGAN,ROMANTICA
45,JOHNNY PRESTON,FEEL SO FINE
46,JAN AND KJELD,BANJO BOY
47,JOAN REGAN,PAPA LOVES MAMA
48,PAT BOONE,WALKING THE FLOOR OVER YOU
49,SAM COOKE,WONDERFUL WORLD
50,MARV JOHNSON,AIN'T GONNA BE THAT WAY
