positions,artists,titles
1,DAVID SOUL,DON'T GIVE UP ON US
2,JULIE COVINGTON,DON'T CRY FOR ME ARGENTINA
3,BARRY BIGGS,SIDESHOW
4,DAVID PARTON,ISN'T SHE LOVELY
5,LEO SAYER,WHEN I NEED YOU
6,BONEY M,DADDY COOL
7,THE DRIFTERS,YOU'RE MORE THAN A NUMBER IN MY LITTLE RED BOOK
8,10CC,THINGS WE DO FOR LOVE
9,ELVIS PRESLEY,SUSPICION
10,ROSE ROYCE,CAR WASH
11,STATUS QUO,WILD SIDE OF LIFE
12,THIN LIZZY,DON'T BELIEVE A WORD
13,STEVIE WONDER,I WISH
14,HAROLD MELVIN AND THE BLUENOTES,DON'T LEAVE ME THIS WAY
15,TINA CHARLES,DR. LOVE
16,MOMENTS,JACK IN THE BOX
17,PAUL NICHOLAS,GRANDMA'S PARTY
18,MIKE OLDFIELD,PORTSMOUTH
19,HEATWAVE,BOOGIE NIGHTS
20,EAGLES,NEW KID IN TOWN
21,BROTHERS,SING ME
22,SMOKIE,LIVING NEXT DOOR TO ALICE
23,LIVERPOOL EXPRESS,EVERY MAN MUST HAVE A DREAM
24,SHOWADDYWADDY,UNDER THE MOON OF LOVE
25,PUSSYCAT,SMILE
26,GARY GLITTER,IT TAKES ALL NIGHT LONG
27,BOZ SCAGGS,WHAT CAN I SAY
28,SILVER CONVENTION,EVERYBODY'S TALKIN' 'BOUT LOVE
29,TAVARES,MIGHTY POWER OF LOVE
30,BOSTON,MORE THAN A FEELING
31,JESSE GREEN,FLIP
32,DETROIT SPINNERS,WAKE UP SUSAN
33,GALLAGHER AND LYLE,EVERY LITTLE TEARDROP
34,ABBA,"MONEY, MONEY, MONEY"
35,AL STEWART,YEAR OF THE CAT
36,BREAD,LOST WITHOUT YOUR LOVE
37,JAMES BROWN,BODYHEAT
38,THELMA HOUSTON,DON'T LEAVE ME THIS WAY
39,STEELY DAN,HAITIAN DIVORCE
40,THE MANHATTAN TRANSFER,CHANSON D'AMOUR
41,THE NEW SEEKERS,I WANNA GO BACK
42,THE BAR-KAYS,SHAKE YOUR RUMP TO THE FUNK
43,THE UNDISPUTED TRUTH,YOU + ME = LOVE
44,BRICK,DAZZ
45,BILLIE JO SPEARS,SING ME AN OLD FASHIONED SONG
46,BRASS CONSTRUCTION,HA CHA CHA (FUNKTION)
47,GORDON LIGHTFOOT,THE WRECK OF THE EDMUND FITZGERALD
48,SLADE,GYPSY ROAD HOG
49,ROSE ROYCE,PUT YOUR MONEY WHERE YOUR MOUTH IS
50,BRYAN FERRY,THIS IS TOMORROW
