positions,artists,titles
1,GERI HALLIWELL,MI CHICO LATINO
2,ALICE DEEJAY,BETTER OFF ALONE
3,WESTLIFE,IF I LET YOU GO
4,BRAN VAN 3000,DRINKING IN L.A.
5,TEXAS,SUMMER SON
6,TLC,UNPRETTY
7,RICKY MARTIN,LIVIN' LA VIDA LOCA
8,RONAN KEATING,WHEN YOU SAY NOTHING AT ALL
9,WILL SMITH,WILD WILD WEST
10,APOLLO FOUR FORTY,STOP THE ROCK
11,BINARY FINARY,1999
12,EMINEM FT DR DRE,GUILTY CONSCIENCE
13,FIVE,IF YA GETTIN' DOWN
14,HEPBURN,BUGS
15,BASEMENT JAXX,RENDEZ-VU
16,WHITNEY HOUSTON,MY LOVE IS YOUR LOVE
17,UNDERWORLD,KING OF SNAKE
18,TRAVIS,WHY DOES IT ALWAYS RAIN ON ME?
19,PHATS & SMALL,FEEL GOOD
20,BRITNEY SPEARS,SOMETIMES
21,ATB,9PM (TILL I COME)
22,STEPS,LOVE'S GOT A HOLD ON MY HEART
23,VENGABOYS,"BOOM,BOOM,BOOM,BOOM!!"
24,SHANIA TWAIN,THAT DON'T IMPRESS ME MUCH
25,MADONNA,BEAUTIFUL STRANGER
26,MERCURY REV,GODDESS ON A HIWAY
27,JENNIFER LOPEZ,IF YOU HAD MY LOVE
28,PUFF DADDY FT HURRICANE G,P.E. 2000
29,CHEMICAL BROTHERS,LET FOREVER BE
30,YOMANDA,SYNTH & STRINGS
31,LOU BEGA,MAMBO NO.5
32,DESTINY'S CHILD,"BILLS,BILLS,BILLS"
33,DOOLALLY,STRAIGHT FROM THE HEART
34,S CLUB 7,BRING IT ALL BACK
35,FIERCE,SO LONG
36,DIVINE COMEDY,THE POP SINGER'S FEAR OF THE POLLEN...
37,BBMAK,BACK HERE
38,SEMISONIC,SECRET SMILE
39,FEEDER,YESTERDAY WENT TOO SOON
40,GROOVE ARMADA,AT THE RIVER
41,PLANET PERFECTO FT GRACE,NOT OVER YET 99
42,ELVIS COSTELLO,SHE
43,SUPER FURRY ANIMALS,FIRE IN MY HEART
44,MARVIN AND TAMARA,GROOVE MACHINE
45,MARY J BLIGE,ALL THAT I CAN SAY
46,DOPE SMUGGLAZ,DOUBLE DOUBLE DUTCH
47,TQ,BETTER DAYS
48,MADNESS,LOVESTRUCK
49,DINA CARROLL,WITHOUT LOVE
50,NINE YARDS,ALWAYS FIND A WAY
51,ECLIPSE,MAKES ME LOVE YOU
52,3 JAYS,FEELING IT TOO
53,PRECIOUS,SAY IT AGAIN
54,BAZ LUHRMANN,EVERYBODY'S FREE (TO WEAR SUNSCREEN)
55,SHANKS & BIGFOOT,SWEET LIKE CHOCOLATE
56,TECHNIQUE,YOU + ME
57,LOLLY,VIVA LA RADIO
58,CULTURE CLUB,YOUR KISSES ARE CHARITY
59,702,WHERE MY GIRLS AT?
60,GERI HALLIWELL,LOOK AT ME
61,CARTOONS,DOODAH!
62,SNEAKER PIMPS,LOW FIVE
63,EIFFEL 65,BLUE (DA BA DEE)
64,ADAM RICKITT,I BREATHE AGAIN
65,SPARKLE,LOVIN' YOU
66,R KELLY,DID YOU EVER THINK
67,MARTINE MCCUTCHEON,PERFECT MOMENT
68,A1,BE THE FIRST TO BELIEVE
69,BREAKBEAT ERA,ULTRA-OBSCENE
70,BOYZONE,YOU NEEDED ME
71,ELLIE CAMPBELL,SO MANY WAYS
72,JAMES,I KNOW WHAT I'M HERE FOR
73,MIKE & THE MECHANICS,WHENEVER I STOP
74,ANOTHER LEVEL,FROM THE HEART
75,SMASH MOUTH,ALL STAR
76,TRICKY,FOR REAL
77,ANN LEE,2 TIMES
78,SCOTT GROOVES,MOTHERSHIP RECONNECTION
79,MECCAHEADZ,NIGHT SKOOL
80,BRANDY,ALMOST DOESN'T COUNT
81,JENNIFER PAIGE,ALWAYS YOU
82,STEREOPHONICS,PICK A PART THAT'S NEW
83,KATCHA,TOUCHED BY GOD
84,TATYANA ALI,EVERYTIME
85,HOLLOWAY & CO.,I'LL DO ANYTHING - TO MAKE YOU MINE
86,DJ JEAN,LAUNCH
87,DEAN MARTIN,SWAY
88,BEN & JASON,EMOTICONS
89,ATB,DON'T STOP (IMPORT)
90,BILLIE RAY MARTIN,HONEY
91,DANIEL O'DONNELL,UNO MAS
92,ENRIQUE IGLESIAS,BAILAMOS
93,FALL,F-'OLDIN' MONEY
94,B.B.E.,SEVEN DAYS & ONE WEEK
95,DJ SAKIN & FRIENDS,NOMANSLAND (DAVID'S SONG)
96,DJ JEAN,LAUNCH
97,FRIGID VINEGAR,DOGMONAUT 2000 (IS THERE ANYONE OUT...)
98,NEW RADICALS,YOU GET WHAT YOU GIVE
99,RED HOT CHILI PEPPERS,SCAR TISSUE
100,SUPERCAR FT MIKAELA,COMPUTER LOVE
