positions,artists,titles
1,EMINEM FT RIHANNA,THE MONSTER
2,LORDE,ROYALS
3,FATBOYSLIM/RIVASTARR/BEARDYMAN,EAT SLEEP RAVE REPEAT
4,ONE DIRECTION,STORY OF MY LIFE
5,ONEREPUBLIC,COUNTING STARS
6,TINIE TEMPAH FT JOHN MARTIN,CHILDREN OF THE SUN
7,KATY PERRY,ROAR
8,WANTED,SHOW ME LOVE (AMERICA)
9,JAMES ARTHUR,YOU'RE NOBODY 'TIL SOMEBODY LOVES YOU
10,MILEY CYRUS,WRECKING BALL
11,SHOWTEK/WE ARE LOUD/WILSON,BOOYAH
12,FOXES,YOUTH
13,JAMES BLUNT,BONFIRE HEART
14,WILKINSON FT BECKY HILL,AFTERGLOW
15,DRAKE FT MAJID JORDAN,HOLD ON WE'RE GOING HOME
16,VAMPS,CAN WE DANCE
17,CONOR MAYNARD,R U CRAZY
18,YLVIS,THE FOX
19,BEN PEARCE,WHAT I MIGHT DO
20,LAWSON,JULIET
21,RIZZLE KICKS,SKIP TO THE GOOD BIT
22,ROBIN THICKE/KENDRICK LAMAR,GIVE IT 2 U
23,JASON DERULO FT 2 CHAINZ,TALK DIRTY
24,AVICII,WAKE ME UP
25,UNION J,BEAUTIFUL LIFE
26,ELLIE GOULDING,BURN
27,AVICII,YOU MAKE ME
28,JUSTIN BIEBER,RECOVERY
29,MACKLEMORE/LEWIS/LAMBERT,SAME LOVE
30,ROBIN THICKE/TI/PHARRELL,BLURRED LINES
31,SATURDAYS,DISCO LOVE
32,ICONA POP,ALL NIGHT
33,PASSENGER,LET HER GO
34,IGGY AZALEA FT TI,CHANGE YOUR LIFE
35,CHER,I HOPE YOU FIND IT
36,LADY GAGA,APPLAUSE
37,MAD,TOYBOY
38,CHASE & STATUS FT MOKO,COUNT ON ME
39,LANA DEL REY VS CEDRIC GERVAIS,SUMMERTIME SADNESS
40,KLANGKARUSSELL FT WILL HEARD,SONNENTANZ (SUN DON'T SHINE)
41,MILEY CYRUS,WE CAN'T STOP
42,JOHN NEWMAN,LOVE ME AGAIN
43,JOHN NEWMAN,CHEATING
44,DIZZEE RASCAL FT TEDDY SKY,LOVE THIS TOWN
45,LOU REED,PERFECT DAY
46,ARCTIC MONKEYS,DO I WANNA KNOW
47,CHRISTINA PERRI,A THOUSAND YEARS
48,MICHAEL JACKSON,THRILLER
49,AWOLNATION,SAIL
50,SEAN PAUL,TURN IT UP
51,LONDON GRAMMAR,STRONG
52,DIPLO & GTA,BOY OH BOY
53,LOU REED,WALK ON THE WILD SIDE
54,JASON MRAZ,I WON'T GIVE UP
55,JAY-Z FT JUSTIN TIMBERLAKE,HOLY GRAIL
56,DISCLOSURE FT LONDON GRAMMAR,HELP ME LOSE MY MIND
57,DAFT PUNK FT PHARRELL WILLIAMS,GET LUCKY
58,NAUGHTY BOY FT SAM SMITH,LA LA LA
59,JESSIE J,IT'S MY PARTY
60,ARCTIC MONKEYS,WHY'D YOU ONLY CALL ME WHEN YOU'RE HIGH
61,BEYONCE,LISTEN
62,1975,GIRLS
63,OLLY MURS,DEAR DARLIN'
64,KATY PERRY,UNCONDITIONALLY
65,SWEDISH HOUSE MAFIA/MARTIN,DON'T YOU WORRY CHILD
66,ONE DIRECTION,BEST SONG EVER
67,SEAL,KISS FROM A ROSE
68,AVRIL LAVIGNE,ROCK N ROLL
69,RAY PARKER JR,GHOSTBUSTERS
70,ICONA POP FT CHARLI XCX,I LOVE IT
71,MACKLEMORE/RYAN LEWIS/DALTON,CAN'T HOLD US
72,DEMI LOVATO,SKYSCRAPER
73,BASTILLE,POMPEII
74,BLACKSTREET FT DR DRE,NO DIGGITY
75,JAKE BUGG,WHAT DOESN'T KILL YOU
76,BOBBY BORIS PICKETT,MONSTER MASH
77,FALL OUT BOY,YOUNG VOLCANOES
78,RIHANNA,POUR IT UP
79,SWAY/KSI/TIGGER DA AUTHOR,NO SLEEP
80,SARAH MCLACHLAN,ANGEL
81,ADELE,SKYFALL
82,IMAGINE DRAGONS,RADIOACTIVE
83,RUDIMENTAL FT ELLA EYRE,WAITING ALL NIGHT
84,LORDE,TENNIS COURT
85,BRUNO MARS,TREASURE
86,DJ FRESH/DIPLO/DOMINIQUE YOUNG,EARTHQUAKE
87,PINK FT NATE RUESS,JUST GIVE ME A REASON
88,1975,CHOCOLATE
89,HAIM,THE WIRE
90,KATY PERRY FT JUICY J,DARK HORSE
91,ARCADE FIRE,REFLEKTOR
92,PSY,GANGNAM STYLE
93,KANYE WEST,BLACK SKINHEAD
94,RIZZLE KICKS,LOST GENERATION
95,LUMINEERS,HO HEY
96,BRUNO MARS,WHEN I WAS YOUR MAN
97,BRUNO MARS,GORILLA
98,UNION J,CARRY YOU
99,EMELI SANDE,READ ALL ABOUT IT PT 3
100,JASON DERULO,THE OTHER SIDE
