positions,artists,titles
1,ROD STEWART,MAGGIE MAY/REASON TO BELIEVE
2,REDBONE,THE WITCH QUEEN OF NEW ORLEANS
3,THE FOUR TOPS,SIMPLE GAME
4,AL GREEN,TIRED OF BEING ALONE
5,TOM JONES,TILL
6,JOAN BAEZ,THE NIGHT THEY DROVE OLD DIXIE DOWN
7,TITANIC,SULTANA
8,SLADE,COZ I LUV YOU
9,SHIRLEY BASSEY,FOR ALL WE KNOW
10,MIDDLE OF THE ROAD,"TWEEDLE DEE, TWEEDLE DUM"
11,FORTUNES,"FREEDOM COME, FREEDOM GO"
12,VINCE HILL,LOOK AROUND
13,SCOTT ENGLISH,BRANDY
14,ARETHA FRANKLIN,SPANISH HARLEM
15,JAMES TAYLOR,YOU'VE GOT A FRIEND
16,BAY CITY ROLLERS,KEEP ON DANCING
17,SPRINGWATER,I WILL RETURN
18,DANYEL GERARD,BUTTERFLY
19,PIGLETS,JOHNNY REGGAE
20,THE CARPENTERS,SUPERSTAR/FOR ALL WE KNOW
21,OLIVIA NEWTON-JOHN,BANKS OF THE OHIO
22,NANCY SINATRA AND LEE HAZLEWOOD,DID YOU EVER
23,CCS,TAP TURNS ON THE WATER
24,NEWBEATS,RUN BABY RUN
25,THE TAMS,HEY GIRL DON'T BOTHER ME
26,THE MOVE,CHINATOWN
27,DIANA ROSS,SURRENDER
28,ELVIS PRESLEY,I'M LEAVIN'
29,ENGELBERT HUMPERDINCK,"ANOTHER TIME, ANOTHER PLACE"
30,THE WHO,LET'S SEE ACTION
31,ROGER WHITTAKER,MAMMY BLUE
32,CHER,"GYPSYS, TRAMPS AND THIEVES"
33,THE SWEET,ALEXANDER GRAHAM BELL
34,ELGINS,PUT YOURSELF IN MY PLACE
35,CLODAGH RODGERS,LADY LOVE BUG
36,SETTLERS,THE LIGHTNING TREE
37,JETHRO TULL,LIFE IS A LONG SONG/UP THE POOL
38,DANIEL BOONE,DADDY DON'T YOU WALK SO FAST
39,MARMALADE,COUSIN NORMAN
40,THE DOORS,RIDERS ON THE STORM
41,BUFFY SAINTE-MARIE,SOLDIER BLUE
42,MUNGO JERRY,YOU DON'T HAVE TO BE IN THE ARMY TO FIGHT IN THE WAR
43,JIMI HENDRIX,GYPSY EYES/REMEMBER
44,HOT CHOCOLATE,I BELIEVE (IN LOVE)
45,CAT STEVENS,MOON SHADOW
46,THE NEW SEEKERS,NEVER ENDING SONG OF LOVE
47,AUTUMN,MY LITTLE GIRL
48,LOS POP TOPS,MAMMY BLUE
49,MIDDLE OF THE ROAD,CHIRPY CHIRPY CHEEP CHEEP
50,THE DELFONICS,READY OR NOT HERE I COME (CAN'T HIDE FROM LOVE)
