positions,artists,titles
1,AVICII,WAKE ME UP
2,ROBIN THICKE/TI/PHARRELL,BLURRED LINES
3,JOHN NEWMAN,LOVE ME AGAIN
4,ICONA POP FT CHARLI XCX,I LOVE IT
5,WILL I AM,BANG BANG
6,NAUGHTY BOY FT SAM SMITH,LA LA LA
7,S INGROSSO/T TRASH/J MARTIN,RELOAD
8,SELENA GOMEZ,COME & GET IT
9,BREACH,JACK
10,PASSENGER,LET HER GO
11,DAFT PUNK FT PHARRELL WILLIAMS,GET LUCKY
12,JASON DERULO,THE OTHER SIDE
13,TAYLOR SWIFT FT ED SHEERAN,EVERYTHING HAS CHANGED
14,AVRIL LAVIGNE,HERE'S TO NEVER GROWING UP
15,JAY-Z FT JUSTIN TIMBERLAKE,HOLY GRAIL
16,BRUNO MARS,TREASURE
17,CHASE & STATUS FT LOUIS MTTRS,LOST & NOT FOUND
18,OLLY MURS,DEAR DARLIN'
19,LAWSON FT BOB,BROKENHEARTED
20,JESSIE J/BIG SEAN/D RASCAL,WILD
21,ARCTIC MONKEYS,DO I WANNA KNOW
22,PINK FT LILY ROSE COOPER,TRUE LOVE
23,WANTED,WALKS LIKE RIHANNA
24,FUSE ODG,ANTENNA
25,DAVID GUETTA FT NE-YO/AKON,PLAY HARD
26,LUCY SPRAGGAN,LIGHTHOUSE
27,MACKLEMORE/RYAN LEWIS/DALTON,CAN'T HOLD US
28,CALVIN HARRIS FT AYAH MARAR,THINKING ABOUT YOU
29,TOM ODELL,ANOTHER LOVE
30,IGGY AZALEA,BOUNCE
31,KESHA FT WILL I AM,CRAZY KIDS
32,KINGS OF LEON,SUPERSOAKER
33,DEMI LOVATO,HEART ATTACK
34,RUDIMENTAL FT ELLA EYRE,WAITING ALL NIGHT
35,MARIAH CAREY FT MIGUEL,BEAUTIFUL
36,GABZ,LIGHTERS (THE ONE)
37,KATY B,WHAT LOVE IS MADE OF
38,BASTILLE,POMPEII
39,IMAGINE DRAGONS,RADIOACTIVE
40,SNEAKBO,RING A LING
41,LUMINEERS,HO HEY
42,ARMIN VAN BUUREN FT T GUTHRIE,THIS IS WHAT IT FEELS LIKE
43,KANYE WEST,BLACK SKINHEAD
44,DIZZEE RASCAL/ROBBIE WILLIAMS,GOIN' CRAZY
45,JUSTIN TIMBERLAKE,TAKE BACK THE NIGHT
46,CHRIS MALINCHAK,SO GOOD TO ME
47,CALVIN HARRIS/ELLIE GOULDING,I NEED YOUR LOVE
48,AVICII VS NICKY ROMERO,I COULD BE THE ONE
49,SATURDAYS,GENTLEMAN
50,MUMFORD & SONS,I WILL WAIT
51,PINK FT NATE RUESS,JUST GIVE ME A REASON
52,K KOKE FT BRIDGET KELLY,MY TIME
53,MACKLEMORE/RYAN LEWIS/WANZ,THRIFT SHOP
54,JUSTIN TIMBERLAKE,MIRRORS
55,CHVRCHES,GUN
56,NEW MUSIC MASTERS,I DON'T CARE I LOVE IT
57,COLDPLAY,VIVA LA VIDA
58,EDWARD SHARPE & MAGNETIC ZEROS,HOME
59,DAVID GUETTA FT SIA,TITANIUM
60,PSY,GENTLEMAN
61,PANIC AT THE DISCO,MISS JACKSON
62,AVICII,LEVELS
63,TOPLOADER,DANCING IN THE MOONLIGHT
64,WILEY/ANGEL/TINCHY STRYDER,LIGHTS ON
65,RUDIMENTAL FT JOHN NEWMAN,FEEL THE LOVE
66,JUSTIN TIMBERLAKE,TUNNEL VISION
67,BRUNO MARS,WHEN I WAS YOUR MAN
68,SCRIPT FT WILL I AM,HALL OF FAME
69,2 CHAINZ FT WIZ KHALIFA,WE OWN IT (FAST & FURIOUS)
70,PSY,GANGNAM STYLE
71,RIZZLE KICKS,MAMA DO THE HUMP
72,JACK JOHNSON,BETTER TOGETHER
73,DJ FRESH FT RITA ORA,HOT RIGHT NOW
74,BEN HOWARD,ONLY LOVE
75,JAKE BUGG,BROKEN
76,AVENGED SEVENFOLD,HAIL TO THE KING
77,IMAGINE DRAGONS,IT'S TIME
78,AVICII,SILHOUETTES
79,WILL I AM FT BRITNEY SPEARS,SCREAM & SHOUT
80,SWEDISH HOUSE MAFIA/MARTIN,DON'T YOU WORRY CHILD
81,SUM 41,IN TOO DEEP
82,LANA DEL REY,SUMMERTIME SADNESS
83,STEVE ANGELLO & LAIDBACK LUKE,SHOW ME LOVE
84,SHOW N PROVE,ZIMMA FRAME
85,DUKE DUMONT FT AME,NEED U (100 PERCENT)
86,RIHANNA,DIAMONDS
87,KILLERS,MR BRIGHTSIDE
88,JAY-Z,99 PROBLEMS
89,DISCLOSURE FT SAM SMITH,LATCH
90,OTTO KNOWS,MILLION VOICES
91,MUMFORD & SONS,LITTLE LION MAN
92,IMAGINE DRAGONS,ON TOP OF THE WORLD
93,MUMFORD & SONS,BABEL
94,OF MONSTERS & MEN,LITTLE TALKS
95,BASTILLE,LAURA PALMER
96,TAYLOR SWIFT,22
97,CHRISTINA PERRI,A THOUSAND YEARS
98,CHRIS BROWN FT AALIYAH,DON'T THINK THEY KNOW
99,DISCLOSURE FT ELIZA DOOLITTLE,YOU & ME
100,OLLY MURS FT FLO RIDA,TROUBLEMAKER
