positions,artists,titles
1,THE JAM,START
2,DAVID BOWIE,ASHES TO ASHES
3,KELLY MARIE,FEELS LIKE I'M IN LOVE
4,SHEENA EASTON,9 TO 5
5,HAZEL O'CONNOR,EIGHTH DAY
6,GARY NUMAN,I DIE: YOU DIE
7,THE PIRANHAS,TOM HARK
8,ABBA,THE WINNER TAKES IT ALL
9,MIKE BERRY,THE SUNSHINE OF YOUR SMILE
10,CLIFF RICHARD,DREAMIN'
11,THE VILLAGE PEOPLE,CAN'T STOP THE MUSIC
12,THE CLASH,BANKROBBER
13,SHEENA EASTON,MODERN GIRL
14,DIANA ROSS,UPSIDE DOWN
15,THE GAP BAND,OOPS UPSIDE YOUR HEAD
16,GEORGE BENSON,GIVE ME THE NIGHT
17,ELVIS PRESLEY,IT'S ONLY LOVE/BEYOND THE REEF
18,ELECTRIC LIGHT ORCHESTRA,ALL OVER THE WORLD
19,ROXY MUSIC,OH YEAH (ON THE RADIO)
20,BILLY JOEL,IT'S STILL ROCK AND ROLL TO ME
21,SHAKIN' STEVENS,MARIE MARIE
22,NICK STRAKER BAND,A WALK IN THE PARK
23,TOM BROWNE,FUNKIN' FOR JAMAICA (N.Y.)
24,BLACK SABBATH,PARANOID {1980}
25,IAN DURY AND THE BLOCKHEADS,I WANT TO BE STRAIGHT
26,RANDY CRAWFORD,ONE DAY I'LL FLY AWAY
27,THE BEAT,BEST FRIEND/STAND DOWN MARGARET
28,GRACE JONES,PRIVATE LIFE
29,SUE WILKINSON,YOU GOTTA BE A HUSTLER IF YOU WANNA GET ON
30,ULTRAVOX,SLEEPWALK
31,JUDAS PRIEST,UNITED
32,SHALAMAR,I OWE YOU ONE
33,SKIDS,CIRCUS GAMES
34,OLIVIA NEWTON-JOHN,MAGIC
35,SPLIT ENZ,I GOT YOU
36,SELECTER,THE WHISPER
37,BARRACUDAS,SUMMER FUN
38,GIBSON BROTHERS,MARIANA
39,BAD MANNERS,LIP UP FATTY
40,LEO SAYER,MORE THAN I CAN SAY
41,THE FATBACK BAND,BACKSTROKIN'
42,LOCKSMITH,UNLOCK THE FUNK
43,RUTS,WEST ONE (SHINE ON ME)
44,ELTON JOHN,SARTORIAL ELOQUENCE
45,SECRET AFFAIR,SOUND OF CONFUSION
46,GLADYS KNIGHT AND THE PIPS,TASTE OF BITTER LOVE
47,PETER GABRIEL,BIKO
48,DR HOOK,YEARS FROM NOW
49,LAMBRETTAS,ANOTHER DAY (ANOTHER GIRL)
50,THE SHADOWS,EQUINOXE (PART V)
51,STACY LATTISAW,DYNAMITE
52,ODYSSEY,USE IT UP AND WEAR IT OUT
53,XTC,GENERALS AND MAJORS/DON'T LOSE YOUR TEMPER
54,QUEEN,ANOTHER ONE BITES THE DUST
55,BOB MARLEY & THE WAILERS,COULD YOU BE LOVED
56,THE KORGIS,IF IT'S ALRIGHT WITH YOU BABY
57,RICK JAMES,BIG TIME
58,ROBERTA FLACK,DON'T MAKE ME WAIT TOO LONG
59,SURFACE NOISE,DANCIN' ON A WIRE
60,SPLODGENESSABOUNDS,TWO LITTLE BOYS/HORSE
61,LEVEL 42,LOVE MEETING LOVE
62,BOW WOW WOW,"C30, C60, C90, GO"
63,CHANGE,SEARCHING
64,GIRLSCHOOL,RACE WITH THE DEVIL
65,ROGER DALTREY,FREE ME
66,BUZZCOCKS,ARE EVERYTHING/WHY SHE'S A GIRL FROM THE CHAINSTORE
67,THE DOOLEYS,BODY LANGUAGE
68,KATE BUSH,BABOOSHKA
69,ROBERT PALMER,JOHNNY AND MARY
70,DEXY'S MIDNIGHT RUNNERS,THERE THERE MY DEAR
71,DARTS,PEACHES
72,V.I.P.'S,THE QUARTER MOON
73,JOAN ARMATRADING,ALL THE WAY FROM AMERICA
74,PAUL SIMON,LATE IN THE EVENING
75,DEEP PURPLE,BLACK NIGHT {1980}
