positions,artists,titles
1,THE EVERLY BROTHERS,CATHY'S CLOWN
2,EDDIE COCHRAN,THREE STEPS TO HEAVEN
3,JIMMY JONES,HANDY MAN
4,CONNIE FRANCIS,MAMA/ROBOT MAN
5,JOHNNY PRESTON,CRADLE OF LOVE
6,LONNIE DONEGAN,I WANNA GO HOME
7,DUANE EDDY,SHAZAM!
8,NEIL SEDAKA,STAIRWAY TO HEAVEN
9,BRENDA LEE,SWEET NOTHIN'S
10,STEVE LAWRENCE,FOOTSTEPS
11,CONNIE STEVENS,SIXTEEN REASONS
12,EMILE FORD AND THE CHECKMATES,YOU'LL NEVER KNOW WHAT YOU'RE MISSING
13,NAT 'KING' COLE,THAT'S YOU
14,ANTHONY NEWLEY,DO YOU MIND?
15,ADAM FAITH,SOMEONE ELSE'S BABY
16,BILLY BLAND,LET THE LITTLE GIRL DANCE
17,RUSS CONWAY,LUCKY FIVE
18,CLIFF RICHARD AND THE SHADOWS,FALL IN LOVE WITH YOU
19,FREDDIE CANNON,THE URGE
20,BILLY FURY,THAT'S LOVE
21,TOMMY BRUCE AND THE BRUISERS,AIN'T MISBEHAVIN'
22,JIM REEVES,HE'LL HAVE TO GO
23,CRAIG DOUGLAS,HEART OF A TEENAGE GIRL
24,ELVIS PRESLEY,STUCK ON YOU
25,BUDDY HOLLY,TRUE LOVE WAYS
26,JOHNNY AND THE HURRICANES,DOWN YONDER
27,FRANK SINATRA,"RIVER, STAY 'WAY FROM MY DOOR"
28,JOHNNY AND THE HURRICANES,BEATNIK FLY
29,PERCY FAITH,THEME FROM 'A SUMMER PLACE'
30,DAVE SAMPSON,SWEET DREAMS
31,MICHAEL COX,ANGELA JONES
32,KING BROTHERS,STANDING ON THE CORNER
33,FLEE-REKKERS,GREEN JEANS
34,JIMMY JONES,GOOD TIMIN'
35,BOB AZZAM AND HIS ORCHESTRA,MUSTAPHA
36,FOUR PREPS,GOT A GIRL
37,BOBBY DARIN,CLEMENTINE
38,SAMMY MASTERS,ROCKING RED WING
39,LONNIE DONEGAN,MY OLD MAN'S A DUSTMAN
40,EDDIE BYRNES AND CONNIE STEVENS,"KOOKIE, KOOKIE (LEND ME YOUR COMB)"
41,ELLA FITZGERALD,MACK THE KNIFE
42,GENE VINCENT,PISTOL PACKIN' MAMA
43,JACK SCOTT,WHAT IN THE WORLD'S COME OVER YOU
44,CRICKETS,BABY MY HEART
45,JOHNNY KIDD AND THE PIRATES,SHAKIN' ALL OVER
46,SAMMY DAVIS JR AND CARMEN MCRAE,HAPPY TO MAKE YOUR ACQUAINTANCE
47,BERT WEEDON,TWELFTH STREET RAG
48,MAUREEN EVANS,PAPER ROSES
49,DICK JORDAN,LITTLE CHRISTINE
50,MAX BYGRAVES,FINGS AIN'T WOT THEY USED T'BE
