positions,artists,titles
1,LEE MARVIN,WAND'RIN' STAR
2,THE BEATLES,LET IT BE
3,SIMON AND GARFUNKEL,BRIDGE OVER TROUBLED WATER
4,THE JACKSON 5,I WANT YOU BACK
5,EDISON LIGHTHOUSE,LOVE GROWS (WHERE MY ROSEMARY GOES)
6,JOHN LENNON AND YOKO ONO WITH THE PLASTIC ONO BAND,INSTANT KARMA
7,CANNED HEAT,LET'S WORK TOGETHER
8,PICKETTYWITCH,THAT SAME OLD FEELING
9,HERMAN'S HERMITS,YEARS MAY COME AND YEARS MAY GO
10,SACHA DISTEL,RAINDROPS KEEP FALLIN' ON MY HEAD
11,ELVIS PRESLEY,DON'T CRY DADDY
12,BROTHERHOOD OF MAN,UNITED WE STAND
13,STEAM,NA NA HEY HEY KISS HIM GOODBYE
14,WHITE PLAINS,MY BABY LOVES LOVIN'
15,"PETER, PAUL AND MARY",LEAVIN' ON A JET PLANE
16,SHOCKING BLUE,VENUS
17,ANDY WILLIAMS,CAN'T HELP FALLING IN LOVE
18,KENNY ROGERS AND THE FIRST EDITION,SOMETHING'S BURNING
19,MARY HOPKIN,TEMMA HARBOUR
20,THE DAVE CLARK FIVE,EVERYBODY GET TOGETHER
21,ROLF HARRIS,TWO LITTLE BOYS
22,BOB AND MARCIA,"YOUNG, GIFTED AND BLACK"
23,JUDY COLLINS,BOTH SIDES NOW
24,BORIS GARDINER,ELIZABETHAN REGGAE
25,CLIFF AND HANK,JOY OF LIVING
26,DOROTHY SQUIRES,TILL
27,RARE BIRD,SYMPATHY
28,JOE DOLAN,YOU'RE SUCH A GOOD LOOKING WOMAN
29,JIMMY RUFFIN,FAREWELL IS A LONELY SOUND
30,KENNY ROGERS AND THE FIRST EDITION,RUBY DON'T TAKE YOUR LOVE TO TOWN
31,JETHRO TULL,THE WITCH'S PROMISE/TEACHER
32,FRANK SINATRA,MY WAY
33,CHICAGO,I'M A MAN
34,JIM REEVES,BUT YOU LOVE ME DADDY
35,CREEDENCE CLEARWATER REVIVAL,DOWN ON THE CORNER
36,DES O'CONNOR,I'LL GO ON HOPING
37,THE TEMPTATIONS,I CAN'T GET NEXT TO YOU
38,ARCHIES,"SUGAR, SUGAR"
39,THE TAMS,"BE YOUNG, BE FOOLISH, BE HAPPY"
40,BADFINGER,COME AND GET IT
41,VANITY FARE,HITCHIN' A RIDE
42,CUFFLINKS,TRACY
43,BOBBIE GENTRY,RAINDROPS KEEP FALLIN' ON MY HEAD
44,JUICY LUCY,WHO DO YOU LOVE
45,DAVE DEE,MY WOMAN'S MAN
46,THE FIFTH DIMENSION,WEDDING BELL BLUES
47,CUFFLINKS,WHEN JULIE COMES AROUND
48,NILSSON,EVERYBODY'S TALKIN'
49,TOM JONES,WITHOUT LOVE (THERE IS NOTHING)
50,GENE PITNEY,A STREET CALLED HOPE
