positions,artists,titles
1,MASH,THEME FROM M*A*S*H (SUICIDE IS PAINLESS)
2,HOT CHOCOLATE,NO DOUBT ABOUT IT
3,JOHNNY LOGAN,WHAT'S ANOTHER YEAR
4,MICHAEL JACKSON,SHE'S OUT OF MY LIFE
5,GARY NUMAN,WE ARE GLASS
6,ROXY MUSIC,OVER YOU
7,THE BEAT,MIRROR IN THE BATHROOM
8,THE SPECIALS,RAT RACE/RUDE BOYS OUTA JAIL
9,LIPPS INC,FUNKYTOWN
10,DEXY'S MIDNIGHT RUNNERS,GENO
11,JIMMY RUFFIN,HOLD ON TO MY LOVE
12,THE AVERAGE WHITE BAND,LET'S GO ROUND AGAIN
13,DON MCLEAN,CRYING
14,WHITESNAKE,FOOL FOR YOUR LOVING
15,THE NOLANS,DON'T MAKE WAVES
16,NARADA MICHAEL WALDEN,I SHOULDA LOVED YA
17,CROWN HEIGHTS AFFAIR,YOU GAVE ME LOVE
18,MATCHBOX,MIDNITE DYNAMOS
19,JONA LEWIE,YOU'LL ALWAYS FIND ME IN THE KITCHEN AT PARTIES
20,LAMBRETTAS,D-A-A-ANCE
21,JERMAINE JACKSON,LET'S GET SERIOUS
22,ROBERTA FLACK AND DONNY HATHAWAY,BACK TOGETHER AGAIN
23,MYSTIC MERLIN,JUST CAN'T GIVE YOU UP
24,PAUL MCCARTNEY,COMING UP
25,ELECTRIC LIGHT ORCHESTRA,I'M ALIVE
26,ORCHESTRAL MANOEUVRES IN THE DARK,MESSAGES
27,JUNIOR MURVIN,POLICE AND THIEVES
28,MOTORHEAD,GOLDEN YEARS (EP)
29,THE MANHATTAN TRANSFER,TWILIGHT ZONE/TWILIGHT TONE
30,KATE BUSH,BREATHING
31,THE KORGIS,EVERYBODY'S GOT TO LEARN SOMETIME
32,UK SUBS,TEENAGE
33,PETER GABRIEL,NO SELF CONTROL
34,DAVID ESSEX,SILVER DREAM MACHINE
35,COCKNEY REJECTS,I'M FOREVER BLOWING BUBBLES
36,STIFF LITTLE FINGERS,NOBODY'S HERO/TIN SOLDIERS
37,THIN LIZZY,CHINATOWN
38,NEW MUSIK,THIS WORLD OF WATER
39,BAD MANNERS,NE-NE NA-NA NA-NA NU-NU
40,DETROIT SPINNERS,BODY LANGUAGE
41,THE UNDERTONES,MY PERFECT COUSIN
42,RUTS,STARING AT THE RUDE BOYS
43,COCKNEY REJECTS,THE GREATEST COCKNEY RIPOFF
44,ELTON JOHN,LITTLE JEANNIE
45,SQUEEZE,PULLING MUSSELS (FROM THE SHELL)
46,RODNEY FRANKLIN,THE GROOVE
47,SKY,TOCCATA
48,FOUR BUCKETEERS,THE BUCKET OF WATER SONG
49,GENESIS,DUCHESS
50,GRACE SLICK,DREAMS
51,ROD STEWART,IF LOVING YOU IS WRONG (I DON'T WANT TO BE RIGHT)
52,LIQUID GOLD,SUBSTITUTE
53,PRELUDE,PLATINUM BLONDE
54,SHO NUFF,IT'S ALRIGHT
55,THE CURE,A FOREST
56,BOBBY THURSTON,CHECK OUT THE GROOVE
57,BLONDIE,CALL ME
58,KAREL FIALKA,THE EYES HAVE IT
59,SURFACE NOISE,THE SCRATCH
60,PHOTOS,IRENE
61,DARTS,LET'S HANG ON
62,TEENA MARIE,BEHIND THE GROOVE
63,THE HUMAN LEAGUE,HOLIDAY 80 EP
64,THE BROTHERS JOHNSON,LIGHT UP THE NIGHT
65,SAXON,WHEELS OF STEEL
66,SMOKIE,TAKE GOOD CARE OF MY BABY
67,SAMMY HAGAR,HEARTBEAT/LOVE OR MONEY
68,UB40,KING/FOOD FOR THOUGHT
69,LAUREL AITKEN AND THE UNITONE,RUDI GOT MARRIED
70,ZAINE GRIFF,ASHES AND DIAMONDS
71,B.A. ROBERTSON,TO BE OR NOT TO BE
72,SALFORD JETS,WHO YOU LOOKING AT
73,MASS PRODUCTION,SHANTE
74,RONNIE BOND,IT'S WRITTEN ON YOUR BODY
75,THE SCORPIONS,MAKE IT REAL
