positions,artists,titles
1,T. REX,GET IT ON
2,THE NEW SEEKERS,NEVER ENDING SONG OF LOVE
3,MIDDLE OF THE ROAD,CHIRPY CHIRPY CHEEP CHEEP
4,ATOMIC ROOSTER,DEVIL'S ANSWER
5,THE SWEET,CO-CO
6,LOBO,ME AND YOU AND A DOG NAMED BOO
7,NEW WORLD,TOM-TOM TURNAROUND
8,DIANA ROSS,I'M STILL WAITING
9,DAVE AND ANSEL COLLINS,MONKEY SPANNER
10,THE WHO,WON'T GET FOOLED AGAIN
11,THE FAMILY,IN MY OWN TIME
12,GREYHOUND,BLACK AND WHITE
13,ELVIS PRESLEY,HEARTBREAK HOTEL/HOUND DOG
14,THE MOVE,TONIGHT
15,ST. CECILIA,LEAP UP AND DOWN (WAVE YOUR KNICKERS IN THE AIR)
16,THE SUPREMES AND THE FOUR TOPS,"RIVER DEEP, MOUNTAIN HIGH"
17,SLADE,GET DOWN AND GET WITH IT
18,HURRICANE SMITH,DON'T LET IT DIE
19,THE TEMPTATIONS,JUST MY IMAGINATION
20,THE DELFONICS,LA-LA MEANS I LOVE YOU
21,BUFFY SAINTE-MARIE,SOLDIER BLUE
22,WHITE PLAINS,WHEN YOU ARE A KING
23,BLUE MINK,BANNER MAN
24,BOB DYLAN,WATCHING THE RIVER FLOW
25,THE ROLLING STONES,STREET FIGHTING MAN
26,BOB AND MARCIA,PIED PIPER
27,DAWN,WHAT ARE YOU DOING SUNDAY
28,KEN DODD,WHEN LOVE COMES ROUND AGAIN
29,JOHN KONGOS,HE'S GONNA STEP ON YOU AGAIN
30,TONY CHRISTIE,I DID WHAT I DID FOR MARIA
31,TAMI LYNN,I'M GONNA RUN AWAY FROM YOU
32,CURTIS MAYFIELD,MOVE ON UP
33,THE JACKSON 5,NEVER CAN SAY GOODBYE
34,GILBERT O'SULLIVAN,WE WILL
35,MEDICINE HEAD,(AND THE) PICTURES IN THE SKY
36,DAWN,KNOCK THREE TIMES
37,CLIFF RICHARD,FLYING MACHINE
38,CURVED AIR,BACK STREET LUV
39,THE TAMS,HEY GIRL DON'T BOTHER ME
40,VELVELETTES,THESE THINGS WILL KEEP ME LOVING YOU
41,MUNGO JERRY,LADY ROSE
42,JIM REEVES,I LOVE YOU BECAUSE/HE'LL HAVE TO GO/MOONLIGHT AND ROSES
43,FASCINATIONS,GIRLS ARE OUT TO GET YOU
44,PIONEERS,LET YOUR YEAH BE YEAH
45,THE TREMELOES,HELLO BUDDY
46,SHIRLEY BASSEY,FOR ALL WE KNOW
47,GORDON LIGHTFOOT,IF YOU COULD READ MY MIND
48,CREEDENCE CLEARWATER REVIVAL,SWEET HITCH-HIKER
49,CAROLE KING,IT'S TOO LATE/I FEEL THE EARTH MOVE
50,SMOKEY ROBINSON AND THE MIRACLES,I DON'T BLAME YOU AT ALL
