positions,artists,titles
1,DAVID ESSEX,HOLD ME CLOSE
2,ART GARFUNKEL,I ONLY HAVE EYES FOR YOU
3,THE DRIFTERS,THERE GOES MY FIRST LOVE
4,5000 VOLTS,I'M ON FIRE
5,JONATHAN KING,UNA PALOMA BLANCA
6,THE CHI-LITES,IT'S TIME FOR LOVE
7,JASPER CARROTT,FUNKY MOPED/MAGIC ROUNDABOUT
8,CARL MALCOLM,FATTIE BUM BUM
9,THE FOUR SEASONS,WHO LOVES YOU
10,GEORGE BAKER SELECTION,PALOMA BLANCA
11,ROD STEWART,SAILING
12,BAND OF THE BLACK WATCH,SCOTCH ON THE ROCKS
13,ABBA,SOS
14,MORRIS ALBERT,FEELINGS
15,MUD,L-L-LUCY
16,SHOWADDYWADDY,HEARTBEAT
17,JUDGE DREAD,BIG TEN
18,LEO SAYER,MOONLIGHTING
19,MAC AND KATIE KISSOON,LIKE A BUTTERFLY
20,BAD COMPANY,FEEL LIKE MAKIN' LOVE
21,GOODIES,NAPPY LOVE/WILD THING
22,ROGER WHITTAKER,THE LAST FAREWELL
23,DAVID BOWIE,SPACE ODDITY {1975}
24,SMOKIE,DON'T PLAY YOUR ROCK AND ROLL TO ME
25,ESTHER PHILLIPS,WHAT A DIFF'RENCE A DAY MAKES
26,ELTON JOHN,ISLAND GIRL
27,BOB MARLEY & THE WAILERS,NO WOMAN NO CRY
28,DESMOND DEKKER,SING A LITTLE SONG
29,CHRIS SPEDDING,MOTOR BIKING
30,SPARKS,"LOOKS, LOOKS, LOOKS"
31,PILOT,JUST A SMILE
32,GLEN CAMPBELL,RHINESTONE COWBOY
33,EXCITERS,REACHING FOR THE BEST
34,HOT CHOCOLATE,A CHILD'S PRAYER
35,RAY STEVENS,INDIAN LOVE CALL
36,PEOPLE'S CHOICE,DO IT ANYWAY YOU WANNA
37,ROXY MUSIC,LOVE IS THE DRUG
38,AL MATTHEWS,FOOL
39,"HAMILTON, JOE FRANK AND REYNOLDS",FALLIN' IN LOVE
40,53RD AND 3RD FEATURING THE SOUND OF SHAG,CHICK-A-BOOM FT THE SOUND OF SHAG
41,T.REX,DREAMY LADY
42,DOBIE GRAY,OUT ON THE FLOOR
43,THE TRAMMPS,HOLD BACK THE NIGHT
44,CHRIS FARLOWE,OUT OF TIME
45,THE FATBACK BAND,YUM YUM (GIMME SOME)
46,NATALIE COLE,THIS WILL BE
47,TOMMY HUNT,CRACKIN' UP
48,DEE CLARK,RIDE A WILD HORSE
49,GEORGE HARRISON,YOU
50,JOHNNY NASH,LET'S BE FRIENDS
