positions,artists,titles
1,ANTHONY NEWLEY,WHY
2,CLIFF RICHARD AND THE SHADOWS,VOICE IN THE WILDERNESS
3,ADAM FAITH,POOR ME
4,FREDDIE CANNON,WAY DOWN YONDER IN NEW ORLEANS
5,EMILE FORD AND THE CHECKMATES,ON A SLOW BOAT TO CHINA
6,CRAIG DOUGLAS,PRETTY BLUE EYES
7,MICHAEL HOLLIDAY,STARRY EYED
8,JOHNNY PRESTON,RUNNING BEAR
9,BOBBY DARIN,LA MER (BEYOND THE SEA)
10,GUY MITCHELL,HEARTACHES BY THE NUMBER
11,EMILE FORD AND THE CHECKMATES,WHAT DO YOU WANT TO MAKE THOSE EYES AT ME FOR?
12,MR. ACKER BILK AND HIS PARAMOUNT JAZZ BAND,SUMMER SET
13,JOHNNY MATHIS,MISTY
14,ADAM FAITH,WHAT DO YOU WANT?
15,MARV JOHNSON,YOU GOT WHAT IT TAKES
16,PLATTERS,HARBOUR LIGHTS
17,ELMER BERNSTEIN,STACCATO'S THEME
18,FRANKIE LAINE,RAWHIDE
19,TOMMY STEELE,LITTLE WHITE BULL
20,THE EVERLY BROTHERS,LET IT BE ME
20,DUANE EDDY AND THE REBELS,BONNIE CAME BACK
22,MARTY ROBBINS,EL PASO
22,LANCE FORTUNE,BE MINE
24,NEIL SEDAKA,OH CAROL
25,FATS DOMINO,BE MY GUEST
26,FRANK IFIELD,LUCKY DEVIL
27,EDDIE COCHRAN,HALLELUJAH I LOVE HER SO
28,JOHNNY KIDD AND THE PIRATES,YOU GOT WHAT IT TAKES
29,JOAN REGAN,HAPPY ANNIVERSARY
30,CLIFF RICHARD AND THE SHADOWS,EXPRESSO BONGO (EP)
