positions,artists,titles
1,NE-YO,BEAUTIFUL MONSTER
2,FLO RIDA FT DAVID GUETTA,CLUB CAN'T HANDLE ME
3,YOLANDA BE COOL VS D CUP,WE NO SPEAK AMERICANO
4,EMINEM FT RIHANNA,LOVE THE WAY YOU LIE
5,WANTED,ALL TIME LOW
6,TRAVIE MCCOY FT BRUNO MARS,BILLIONAIRE
7,BOB FT HAYLEY WILLIAMS,AIRPLANES
8,ELIZA DOOLITTLE,PACK UP
9,SWEDISH HOUSE MAFIA/PHARRELL,ONE (YOUR NAME)
10,KATY PERRY FT SNOOP DOGG,CALIFORNIA GURLS
11,HOOSIERS,CHOICES
12,JASON DERULO,WHAT IF
13,MAGNETIC MAN FT ANGELA HUNTE,I NEED AIR
14,ENRIQUE IGLESIAS FT PITBULL,I LIKE IT
15,MARK RONSON & THE BUSINESS INT,BANG BANG BANG
16,EXAMPLE,KICKSTARTS
17,PROFESSOR GREEN FT LILY ALLEN,JUST BE GOOD TO GREEN
18,LADY GAGA,ALEJANDRO
19,KELLY ROWLAND FT DAVID GUETTA,COMMANDER
20,USHER FT PITBULL,DJ GOT US FALLING IN LOVE
21,KYLIE MINOGUE,ALL THE LOVERS
22,EMINEM,NOT AFRAID
23,JLS,THE CLUB IS ALIVE
24,DJ FRESH,GOLD DUST
25,EDWARD MAYA FT VIKA JIGULINA,STEREO LOVE
26,PLAN B,PRAYIN'
27,DAVID GUETTA FT CHRIS WILLIS,GETTIN' OVER
28,TINIE TEMPAH FT LABRINTH,FRISKY
29,DRAKE,FIND YOUR LOVE
30,3OH3 FT KESHA,MY FIRST KISS
31,USHER FT WILL I AM,OMG
32,JASON DERULO,RIDIN' SOLO
33,PLAN B,SHE SAID
34,TRAIN,HEY SOUL SISTER
35,ALICIA KEYS,TRY SLEEPING WITH A BROKEN HEART
36,RIHANNA,TE AMO
37,SHAKIRA FT FRESHLYGROUND,WAKA WAKA (THIS TIME FOR AFRICA)
38,MARINA & THE DIAMONDS,OH NO
39,SCOUTING FOR GIRLS,FAMOUS
40,BOB FT BRUNO MARS,NOTHIN' ON YOU
41,SCISSOR SISTERS,FIRE WITH FIRE
42,PENDULUM,WITCHCRAFT
43,K'NAAN,WAVIN' FLAG
44,PALOMA FAITH,NEW YORK
45,ELLIE GOULDING,THE WRITER
46,SEAN KINGSTON & JUSTIN BIEBER,EENIE MEENIE
47,ALICIA KEYS,EMPIRE STATE OF MIND (PART II)
48,SKEPTA,RESCUE ME
49,ALEXANDRA BURKE FT PITBULL,ALL NIGHT LONG
50,TINIE TEMPAH,PASS OUT
51,DIANA VICKERS,THE BOY WHO MURDERED LOVE
52,JOURNEY,DON'T STOP BELIEVIN'
53,BASSHUNTER,SATURDAY
54,30 SECONDS TO MARS,CLOSER TO THE EDGE
55,BLACK EYED PEAS,I GOTTA FEELING
56,KESHA,YOUR LOVE IS MY DRUG
57,AGGRO SANTOS FT KIMBERLY WYATT,CANDY
58,SCOUTING FOR GIRLS,THIS AIN'T A LOVE SONG
59,LADY GAGA FT BEYONCE,TELEPHONE
60,XX,ISLANDS
61,JUSTIN BIEBER FT LUDACRIS,BABY
62,LADY GAGA,BAD ROMANCE
63,JUSTIN BIEBER,SOMEBODY TO LOVE
64,N-DUBZ FT BODYROX,WE DANCE ON
65,ROLL DEEP,GOOD TIMES
66,MUMFORD & SONS,THE CAVE
67,MUSE,UPRISING
68,ELLIE GOULDING,STARRY EYED
69,RIHANNA,RUDE BOY
70,DAVID GUETTA FT KID CUDI,MEMORIES
71,KINGS OF LEON,SEX ON FIRE
72,THEY MIGHT BE GIANTS,BIRDHOUSE IN YOUR SOUL
73,PIXIE LOTT,TURN IT UP
74,PROFESSOR GREEN FT ED DREWETT,I NEED YOU TONIGHT
75,ARCADE FIRE,WE USED TO WAIT
76,KESHA,TIK TOK
77,PENDULUM,WATERCOLOUR
78,ASH,CARNAL LOVE
79,ELIZA DOOLITTLE,SKINNY GENES
80,GLEE CAST,DON'T STOP BELIEVIN'
81,TEMPER TRAP,SWEET DISPOSITION
82,DIZZEE RASCAL,DIRTEE DISCO
83,OWL CITY,FIREFLIES
84,FYFE DANGERFIELD,SHE'S ALWAYS A WOMAN
85,JAY-Z FT ALICIA KEYS,EMPIRE STATE OF MIND
86,FLORENCE & THE MACHINE,DOG DAYS ARE OVER
87,DRUMS,LET'S GO SURFING
88,LADY GAGA,POKER FACE
89,JASON DERULO,IN MY HEAD
90,JASON MRAZ,I'M YOURS
91,INNA,HOT
92,IYAZ,SOLO
93,FLORENCE & THE MACHINE,YOU'VE GOT THE LOVE
94,MUSE,NEUTRON STAR COLLISION (LOVE IS FOREVER)
95,FAKE BLOOD,I THINK I LIKE IT
96,RADICAL FACE,WELCOME HOME SON
97,30 SECONDS TO MARS,KINGS AND QUEENS
98,ROBYN,DANCING ON MY OWN
99,KINGS OF LEON,USE SOMEBODY
100,BIFFY CLYRO,BUBBLES
