positions,artists,titles
1,MUSICAL YOUTH,PASS THE DUTCHIE
2,CULTURE CLUB,DO YOU REALLY WANT TO HURT ME
3,FAT LARRY'S BAND,ZOOM
4,THE KIDS FROM 'FAME',STARMAKER
5,CHICAGO,HARD TO SAY I'M SORRY
6,KEVIN ROWLAND AND DEXY'S MIDNIGHT RUNNERS,JACKIE WILSON SAID
7,EVELYN KING,LOVE COME DOWN
8,MARI WILSON,JUST WHAT I ALWAYS WANTED
9,SHALAMAR,THERE IT IS
10,SPANDAU BALLET,LIFELINE
11,ADAM ANT,FRIEND OR FOE
12,CARLY SIMON,WHY
13,THE ANIMALS,HOUSE OF THE RISING SUN {1982}
14,THE BEATLES,LOVE ME DO {1982}
15,KID CREOLE AND THE COCONUTS,"ANNIE, I'M NOT YOUR DADDY"
16,THE JAM,THE BITTEREST PILL (I EVER HAD TO SWALLOW)
17,ROCKER'S REVENGE FEATURING DONNIE CALVIN,WALKING ON SUNSHINE FT DONNIE CALVIN
18,SIMPLE MINDS,GLITTERING PRIZE
19,SURVIVOR,EYE OF THE TIGER
20,ULTRAVOX,REAP THE WILD WIND
21,DAVID CHRISTIE,SADDLE UP
22,BAUHAUS,ZIGGY STARDUST
23,ABC,ALL OF MY HEART
24,THE CLASH,SHOULD I STAY OR SHOULD I GO/STRAIGHT TO HELL
25,DEPECHE MODE,LEAVE IN SILENCE
26,DIRE STRAITS,PRIVATE INVESTIGATIONS
27,PINKEES,DANGER GAMES
28,IMAGINATION,IN THE HEAT OF THE NIGHT
29,UB40,SO HERE I AM
30,THE PRETENDERS,BACK ON THE CHAIN GANG
31,SHAKATAK,INVITATIONS
32,SHARON REDD,NEVER GIVE YOU UP
33,ROXY MUSIC,TAKE A CHANCE WITH ME
34,JAPAN,LIFE IN TOKYO
35,TALK TALK,TODAY
36,BARRY MANILOW,I WANNA DO IT WITH YOU
37,MELBA MOORE,LOVE'S COMIN' AT YA
38,TEARS FOR FEARS,MAD WORLD
39,TOYAH,BE LOUD BE PROUD (BE HEARD)
40,JULIO IGLESIAS,AMOR
41,SIOUXSIE AND THE BANSHEES,SLOWDIVE
42,HOT CHOCOLATE,CHANCES
43,GRANDMASTER FLASH AND THE FURIOUS FIVE,THE MESSAGE
44,SHAKIN' STEVENS,I'LL BE SATISFIED
45,DOLLAR,GIVE ME SOME KINDA MAGIC
46,AIR SUPPLY,EVEN THE NIGHTS ARE BETTER
47,SHAKIN' STEVENS,GIVE ME YOUR HEART TONIGHT
48,SYLVESTER WITH PATRICK COWLEY,DO YA WANNA FUNK
49,LEVEL 42,WEAVE YOUR SPELL
50,BOYSTOWN GANG,SIGNED SEALED DELIVERED (I'M YOURS)
51,STEVE WINWOOD,VALERIE
52,DEXY'S MIDNIGHT RUNNERS WITH THE EMERALD EXPRESS,COME ON EILEEN
53,THE WHO,ATHENA
54,WHITE AND TORCH,PARADE
55,CAVA CAVA,WHERE'S ROMEO?
56,THE JETS,SOMEBODY TO LOVE
57,PAUL McCARTNEY,TUG OF WAR
58,PETER GABRIEL,SHOCK THE MONKEY
59,STEVIE WONDER,RIBBON IN THE SKY
60,SCARLET PARTY,101 DAM-NATIONS
61,RAW SILK,DO IT TO THE MUSIC
62,DURAN DURAN,SAVE A PRAYER
63,EDDY GRANT,I DON'T WANNA DANCE
64,KOOL AND THE GANG,OOH LA LA LA (LET'S GO DANCIN')
65,BLUE ZOO,CRY BOY CRY
66,PHILIP JAP,TOTAL ERASURE
67,JEFF BECK,HI-HO SILVER LINING
68,KIM CARNES,VOYEUR
69,ELVIS COSTELLO AND THE ATTRACTIONS,FROM HEAD TO TOE
70,THE PIRANHAS FEATURING BORING BOB GROVER,ZAMBEZI FT BORING BOB GROVER
71,THE KIDS FROM 'FAME' FEATURING VALERIE LANDSBERG,HI FIDELITY FT VALERIE LANDSBERG
72,WHAM!,YOUNG GUNS (GO FOR IT)
73,THE BELLE STARS,MOCKINGBIRD
74,KIM WILDE,CHILD COME AWAY
75,IRENE CARA,FAME
