positions,artists,titles
1,IRENE CARA,FAME
2,DEXY'S MIDNIGHT RUNNERS WITH THE EMERALD EXPRESS,COME ON EILEEN
3,YAZOO,DON'T GO
4,MADNESS,DRIVING IN MY CAR
5,TRIO,DA DA DA
6,BANANARAMA,SHY BOY
7,HOT CHOCOLATE,IT STARTED WITH A KISS
8,THE STEVE MILLER BAND,ABRACADABRA
9,JAPAN,I SECOND THAT EMOTION
10,SHALAMAR,A NIGHT TO REMEMBER
11,KID CREOLE AND THE COCONUTS,STOOL PIGEON
12,VISAGE,NIGHT TRAIN
13,ODYSSEY,INSIDE OUT
14,CLIFF RICHARD,THE ONLY WAY OUT
15,DAVID ESSEX,ME AND MY GIRL (NIGHT-CLUBBING)
16,BUCKS FIZZ,NOW THOSE DAYS ARE GONE
17,DOLLAR,VIDEOTHEQUE
18,IMAGINATION,MUSIC AND LIGHTS
19,THE STRANGLERS,STRANGE LITTLE GIRL
20,PAUL MCCARTNEY,TAKE IT AWAY
21,NATASHA,IKO IKO
22,CHERI,MURPHY'S LAW
23,THE BELLE STARS,THE CLAPPING SONG
24,BRAT,CHALK DUST - THE UMPIRE STRIKES BACK
25,JUNIOR,TOO LATE
26,MIDGE URE,NO REGRETS
27,DONNA SUMMER,LOVE IS IN CONTROL (FINGER ON THE TRIGGER)
28,THE FIRM,ARTHUR DALEY (E'S ALRIGHT)
29,LYNYRD SKYNYRD,FREE BIRD
30,CAPTAIN SENSIBLE,HAPPY TALK
31,AC/DC,FOR THOSE ABOUT TO ROCK (WE SALUTE YOU)
32,THE CLASH,ROCK THE CASBAH
33,ELKIE BROOKS,NIGHTS IN WHITE SATIN
34,THE CURE,THE HANGING GARDEN
35,LEO SAYER,HEART (STOP BEATING IN TIME)
36,QUEEN,LAS PALABRAS DE AMOR
37,TALK TALK,TODAY
38,WAVELENGTH,HURRY HOME
39,BLONDIE,WAR CHILD
40,THE JAM,JUST WHO IS THE 5 O'CLOCK HERO
41,DIANA ROSS,WORK THAT BODY
42,BAD MANNERS,MY GIRL LOLLIPOP (MY BOY LOLLIPOP)
43,HAYSI FANTAYZEE,JOHN WAYNE IS BIG LEGGY
44,KEN BARRIE,POSTMAN PAT
45,PATRICE RUSHEN,I WAS TIRED OF BEING ALONE
46,CHAS AND DAVE,MARGATE
47,DENNIS BROWN,LOVE HAS FOUND ITS WAY
48,TOYAH,IEYA
49,WILLIE NELSON,ALWAYS ON MY MIND
50,SOFT CELL,TAINTED LOVE
51,THE PSYCHEDELIC FURS,LOVE MY WAY
52,SHEENA EASTON,MACHINERY
53,THE BEATLES,THE BEATLES MOVIE MEDLEY
54,SURVIVOR,EYE OF THE TIGER
55,BLANCMANGE,FEEL ME
56,THE FUN BOY THREE,SUMMERTIME
57,THE FIXX,RED SKIES
58,ASIA,HEAT OF THE MOMENT
59,GARY 'US' BONDS,SOUL DEEP
60,SECOND IMAGE,STAR
61,THE TEARDROP EXPLODES,TINY CHILDREN
62,TYGERS OF PAN TANG,RENDEZVOUS
63,SAMSON,LOSING MY GRIP
64,ELVIS COSTELLO AND THE ATTRACTIONS,MAN OUT OF TIME
65,CHARLENE,I'VE NEVER BEEN TO ME
66,BOYSTOWN GANG,CAN'T TAKE MY EYES OFF YOU
67,THE MCCRARYS,LOVE ON A SUMMER NIGHT
68,DURAN DURAN,HUNGRY LIKE THE WOLF
69,BOW WOW WOW,YOUR CASSETTE PET
70,TIGHT FIT,SECRET HEART
71,PRELUDE,ONLY THE LONELY (KNOW THE WAY I FEEL)
72,THE DAMNED,LOVELY MONEY
73,PHILIP JAP,SAVE US
74,CHEAP TRICK,IF YOU WANT MY LOVE
75,ADAM ANT,GOODY TWO SHOES
