positions,artists,titles
1,DRAKE FT WIZKID & KYLA,ONE DANCE
2,SIA,CHEAP THRILLS
3,MIKE POSNER,I TOOK A PILL IN IBIZA
4,DNCE,CAKE BY THE OCEAN
5,FIFTH HARMONY FT TY DOLLA SIGN,WORK FROM HOME
6,PRINCE & THE REVOLUTION,PURPLE RAIN
7,ZARA LARSSON,LUSH LIFE
8,ALAN WALKER,FADED
9,TINIE TEMPAH FT ZARA LARSSON,GIRLS LIKE
10,LUKAS GRAHAM,7 YEARS
11,MEGHAN TRAINOR,NO
12,GALANTIS,NO MONEY
13,RIHANNA FT DRAKE,WORK
14,JONAS BLUE & DAKOTA,FAST CAR
15,BLONDE & CRAIG DAVID,NOTHING LIKE THIS
16,TWENTY ONE PILOTS,STRESSED OUT
17,BEYONCE,HOLD UP
18,DJ SNAKE FT BIPOLAR SUNSHINE,MIDDLE
19,LITTLE MIX,HAIR
20,MAJOR LAZER FT NYLA,LIGHT IT UP
21,CHAINSMOKERS FT ROZES,ROSES
22,SHAWN MENDES,STITCHES
23,G-EAZY FT BEBE REXHA,ME MYSELF & I
24,ZAYN,PILLOWTALK
25,DESIIGNER,PANDA
26,PRINCE & THE REVOLUTION,WHEN DOVES CRY
27,JUSTIN BIEBER,LOVE YOURSELF
28,ARIANA GRANDE,DANGEROUS WOMAN
29,COLDPLAY,HYMN FOR THE WEEKEND
30,SELENA GOMEZ,HANDS TO MYSELF
31,BEYONCE,FORMATION
32,JUSTIN BIEBER,SORRY
33,BEYONCE,SORRY
34,DISTURBED,THE SOUND OF SILENCE
35,BEYONCE FT THE WEEKND,6 INCH
36,BEYONCE FT JACK WHITE,DON'T HURT YOURSELF
37,SIGALA FT IMANI & DJ FRESH,SAY YOU DO
38,PRINCE & THE REVOLUTION,KISS
39,LITTLE MIX FT JASON DERULO,SECRET LOVE SONG
40,BEYONCE FT KENDRICK LAMAR,FREEDOM
41,SNAKEHIPS FT TINASHE & CHANCE,ALL MY FRIENDS
42,CALUM SCOTT,DANCING ON MY OWN
43,ADELE,WHEN WE WERE YOUNG
44,BEYONCE,DADDY LESSONS
45,NICK JONAS FT TOVE LO,CLOSE
46,KANYE WEST,FAMOUS
47,PRINCE & THE REVOLUTION,RASPBERRY BERET
48,JUSTIN BIEBER,WHAT DO YOU MEAN
49,PRINCE,1999
50,ONE DIRECTION,HISTORY
51,PINK,JUST LIKE FIRE
52,BEYONCE,PRAY YOU CATCH ME
53,MNEK & ZARA LARSSON,NEVER FORGET YOU
54,ALUNAGEORGE FT POPCAAN,I'M IN CONTROL
55,KYGO FT MATY NOYES,STAY
56,BENNY BENASSI & CHRIS BROWN,PARADISE
57,BEYONCE,SANDCASTLES
58,SHAWN MENDES/CAMILA CABELLO,I KNOW WHAT YOU DID LAST SUMMER
59,DRAKE FT THE THRONE,POP STYLE
60,BEYONCE,ALL NIGHT
61,RIHANNA,NEEDED ME
62,YEARS & YEARS,DESIRE
63,WILL I AM FT PIA MIA,BOYS & GIRLS
64,CHARLIE PUTH,ONE CALL AWAY
65,CRAIG DAVID & BIG NARSTIE,WHEN THE BASSLINE DROPS
66,COLDPLAY,ADVENTURE OF A LIFETIME
67,SIA,CHANDELIER
68,GNASH FT OLIVIA O'BRIEN,I HATE U I LOVE U
69,BEYONCE,LOVE DROUGHT
70,PRINCE,LITTLE RED CORVETTE
71,ZAYN,LIKE I WOULD
72,CHEAT CODES/KRIS KROSS,SEX
73,DAVID GUETTA FT SIA,BANG MY HEAD
74,SLEEPY TOM & DIPLO,BE RIGHT THERE
75,ROBIN SCHULZ FT YATES,SUGAR
76,JASON DERULO,IF IT AIN'T LOVE
77,RIHANNA,KISS IT BETTER
78,SKEPTA,MAN
79,DRAKE & FUTURE,JUMPMAN
80,99 SOULS,GIRL IS MINE (DESTINY'S CHILD & BRANDY)
81,CATFISH & THE BOTTLEMEN,7
82,JAY SEAN FT SEAN PAUL,MAKE MY LOVE GO
83,ALESSIA CARA,WILD THINGS
84,ADELE,HELLO
85,BEYONCE FT JAMES BLAKE,FORWARD
86,CHAINSMOKERS FT DAYA,DON'T LET ME DOWN
87,DAWIN,DESSERT
88,WEEKND,THE HILLS
89,IGGY AZALEA,TEAM
90,SIGALA FT BRYN CHRISTOPHER,SWEET LOVIN'
91,ELLIE GOULDING,ARMY
92,MAJOR LAZER FT MO & DJ SNAKE,LEAN ON
93,WEEKND,CAN'T FEEL MY FACE
94,JAMES BAY,LET IT GO
95,1975,THE SOUND
96,KALEO,WAY DOWN WE GO
97,WALK THE MOON,SHUT UP & DANCE
98,ELLE KING,EX'S & OH'S
99,KYGO FT JAMES VINCENT MCMORROW,I'M IN LOVE
100,CALVIN HARRIS & DISCIPLES,HOW DEEP IS YOUR LOVE
