positions,artists,titles
1,SHAGGY FT RAYVON,ANGEL
2,DJ PIED PIPER,DO YOU REALLY LIKE IT
3,TRAVIS,SING
4,S CLUB 7,DON'T STOP MOVIN'
5,EDDY GRANT,ELECTRIC AVENUE
6,BLUE,ALL RISE
7,GERI HALLIWELL,IT'S RAINING MEN
8,DIDO,THANK YOU
9,NELLY FT CITY SPUD,RIDE WIT ME
10,3LW,NO MORE (BABY I'MA DO RIGHT)
11,MYA,FREE
12,M.O.P.,COLD AS ICE
13,GABRIELLE,OUT OF REACH
14,SUNSHINE ANDERSON,HEARD IT ALL BEFORE
15,FRAGMA,YOU ARE ALIVE
16,OUTKAST,SO FRESH SO CLEAN
17,JENNIFER LOPEZ,PLAY
18,LISA ROXANNE,NO FLOW
19,LUDACRIS,WHAT'S YOUR FANTASY
20,RADIOHEAD,PYRAMID SONG
21,A TEENS,UPSIDE DOWN
22,WHEATUS,TEENAGE DIRTBAG
23,DESTINY'S CHILD,SURVIVOR
24,SHAGGY FT RIKROK,IT WASN'T ME
25,GORILLAZ,CLINT EASTWOOD
26,EVE,WHO'S THAT GIRL
27,AARON SOUL,RING RING RING
28,OXIDE & NEUTRINO,UP MIDDLE FINGER
29,MISSY ELLIOTT,GET UR FREAK ON
30,CRAZY TOWN,BUTTERFLY
31,ATOMIC KITTEN,WHOLE AGAIN
32,BBMAK,STILL ON YOUR SIDE
33,NERD FT LEE HARVEY & VITA,LAPDANCE
34,RONAN KEATING,LOVIN' EACH DAY
35,O-TOWN,LIQUID DREAMS
36,EYE TO EYE FT TAKA BOOM,JUST CAN'T GET ENOUGH (NO NO NO NO)
37,MUSIQUE VS U2,NEW YEARS DUB
38,HEARSAY,PURE AND SIMPLE
39,EMMA BUNTON,WHAT TOOK YOU SO LONG
40,LEE ANN WOMACK,I HOPE YOU DANCE
41,JANET JACKSON,ALL FOR YOU
42,ANASTACIA,COWBOYS & KISSES
43,NELLY FURTADO,I'M LIKE A BIRD
44,AGENT SUMO,24 HOURS
45,REM,IMITATION OF LIFE
46,ROBBIE WILLIAMS,LET LOVE BE YOUR ENERGY
47,WESTLIFE,UPTOWN GIRL
48,TALL PAUL,ROCK DA HOUSE
49,PEPE DELUXE,BEFORE YOU LEAVE
50,ELLIE CAMPBELL,DON'T WANT YOU BACK
51,ULTRA NATE,GET IT UP (THE FEELING)
52,SPOOKS,KARMA HOTEL
53,MADONNA,WHAT IT FEELS LIKE FOR A GIRL
54,STEREO MC'S,DEEP DOWN & DIRTY
55,FATBOY SLIM,STAR 69
56,TWEENIES,BEST FRIENDS FOREVER
57,SAMANTHA MUMBA,ALWAYS COME BACK TO YOUR LOVE
58,BON JOVI,ONE WILD NIGHT
59,JASON DOWNS FT MILK,WHITE BOY WITH A FEATHER
60,E-TRAX,LET'S ROCK
61,LIL BOW WOW,BOW WOW (THAT'S MY NAME)
62,STEREOPHONICS,MR WRITER
63,EVA CASSIDY,OVER THE RAINBOW
64,MARK B & BLADE,YA DON'T SEE THE SIGNS
65,BOB THE BUILDER,CAN WE FIX IT
66,M&S PTS GIRL NEXT DOOR,SALSOUL NUGGET (IF U WANNA)
67,OFFSPRING,WANT YOU BAD
68,AIR,RADIO NO 1
69,A1,NO MORE
70,JON B,DON'T TALK
71,DIRTY VEGAS,DAYS GO BY
72,TRANCESETTERS,SYNERGY
73,PAPA ROACH,BETWEEN ANGELS AND INSECTS
74,LINKIN PARK,CRAWLING
75,STARSAILOR,GOOD SOULS
76,WARREN CLARKE FT KATHY BROWN,OVER YOU
77,CHOCOLATE PUMA,I WANNA BE U
78,STEPHEN GATELY,STAY
79,JAKATTA,AMERICAN DREAM
80,DANCE TO TIPPERARY,FIELDS OF ATHENRY
81,INNER CITY,GOOD LOVE
82,S CLUB 7,NEVER HAD A DREAM COME TRUE
83,CLEARLAKE,LET GO
84,CRAIG DAVID,RENDEZVOUS
85,D:FUSE & JOY,SHE RIDES
86,MODJO,CHILLIN'
87,DEAN PARK,WEE ANDY WEBBER'S SCOTTISH MEDLEY
88,BASSTONE,PHATT MOVE
89,LEANN RIMES,I NEED YOU
90,BBMAK,BACK HERE
91,SOUND DE-ZIGN,HAPPINESS
92,MANIC STREET PREACHERS,SO WHY SO SAD
93,OUTKAST,MS JACKSON
94,AEROSMITH,JADED
95,DEPECHE MODE,DREAM ON
96,OXIDE & NEUTRINO,REMY ON DA FLOOR
97,ARCHITECHS,SHOW ME THE MONEY
98,TOTAL SCIENCE,BORDERLINE 2000/JUNGLE JUNGLE
99,BYRON STINGILY FT LEEE JOHN,U TURN ME
100,BEE GEES,THIS IS WHERE I CAME IN
