positions,artists,titles
1,SLIM WHITMAN,ROSE MARIE
2,FRANK SINATRA,LEARNIN' THE BLUES
3,FRANKIE LAINE WITH THE MELLOMEN,COOL WATER
4,DAVID WHITFIELD,EV'RYWHERE
5,MALCOLM VAUGHAN,EVERY DAY OF MY LIFE
6,EDDIE CALVERT,JOHN AND JULIE
7,CATERINA VALENTE,THE BREEZE AND I
8,SLIM WHITMAN,INDIAN LOVE CALL
9,RUBY MURRAY,EVERMORE
10,FRANKIE LAINE,STRANGE LADY IN TOWN
11,SAMMY DAVIS JR,SOMETHING'S GOTTA GIVE
12,ALMA COGAN,DREAMBOAT
13,DAVID WHITFIELD,MAMA
14,JIMMY YOUNG,UNCHAINED MELODY
15,DICKIE VALENTINE,I WONDER
16,RONNIE HILTON,STARS SHINE IN YOUR EYES
17,RAY BURNS WITH THE CORONETS,THAT'S HOW A LOVE SONG WAS BORN
18,FRANK SINATRA,NOT AS A STRANGER
19,JOE 'MR PIANO' HENDERSON,SING IT AGAIN WITH JOE
20,AL HIBBLER,UNCHAINED MELODY
