positions,artists,titles
1,JLS,EVERYBODY IN LOVE
2,CHERYL COLE,FIGHT FOR THIS LOVE
3,BLACK EYED PEAS,MEET ME HALFWAY
4,JAY SEAN FT LIL WAYNE,DOWN
5,ALEXANDRA BURKE FT FLO RIDA,BAD BOYS
6,KESHA,TIK TOK
7,MICHAEL BUBLE,HAVEN'T MET YOU YET
8,WESTLIFE,WHAT ABOUT NOW
9,CHASE & STATUS FT PLAN B,END CREDITS
10,LADY GAGA,BAD ROMANCE
11,JAY-Z FT ALICIA KEYS,EMPIRE STATE OF MIND
12,CHIPMUNK,OOPSY DAISY
13,MILEY CYRUS,PARTY IN THE USA
14,WHITNEY HOUSTON,MILLION DOLLAR BILL
15,SNOW PATROL,JUST SAY YES
16,BLACK EYED PEAS,I GOTTA FEELING
17,PAOLO NUTINI,PENCIL FULL OF LEAD
18,CALVIN HARRIS,FLASHBACK
19,JOURNEY,DON'T STOP BELIEVIN'
20,TINCHY STRYDER,YOU'RE NOT ALONE
21,PITBULL,HOTEL ROOM SERVICE
22,TAIO CRUZ,BREAK YOUR HEART
23,ROBBIE WILLIAMS,BODIES
24,DAVID GUETTA FT AKON,SEXY CHICK
25,BON JOVI,WE WEREN'T BORN TO FOLLOW
26,YOUNG SOUL REBELS,I GOT SOUL
27,BEYONCE,BROKEN-HEARTED GIRL
28,SHAKIRA,SHE WOLF
29,CHRIS BROWN FT LIL WAYNE,I CAN TRANSFORM YA
30,CHERYL COLE FT WILL I AM,3 WORDS
31,DUCK SAUCE,ANYWAY
32,LAURA WHITE,YOU SHOULD HAVE KNOWN
33,COBRA STARSHIP,GOOD GIRLS GO BAD
34,DIZZEE RASCAL,DIRTEE CASH
35,BIFFY CLYRO,THE CAPTAIN
36,TEMPER TRAP,SWEET DISPOSITION
37,SATURDAYS,FOREVER IS OVER
38,FOO FIGHTERS,WHEELS
39,KINGS OF LEON,SEX ON FIRE
40,FLORENCE & THE MACHINE,YOU'VE GOT THE LOVE
41,JLS,BEAT AGAIN
42,BIG PINK,DOMINOS
43,BEYONCE,SWEET DREAMS
44,JORDIN SPARKS,SOS (LET THE MUSIC PLAY)
45,PIXIE LOTT,CRY ME OUT
46,PIXIE LOTT,BOYS & GIRLS
47,JAY-Z FT RIHANNA & KANYE WEST,RUN THIS TOWN
48,PALOMA FAITH,NEW YORK
49,ALPHABEAT,THE SPELL
50,KANO,ROCK N ROLLER
51,JACE EVERETT,BAD THINGS
52,BON JOVI,LIVIN' ON A PRAYER
53,DIZZEE RASCAL,HOLIDAY
54,KASABIAN,UNDERDOG
55,JAMIE CULLUM,I'M ALL OVER IT
56,SEAN KINGSTON,FACE DROP
57,JASON MRAZ,I'M YOURS
58,MICHAEL JACKSON,MAN IN THE MIRROR
59,KINGS OF LEON,USE SOMEBODY
60,MICHAEL BUBLE,CRY ME A RIVER
61,LADY GAGA,PAPARAZZI
62,PINK,I DON'T BELIEVE YOU
63,LADY GAGA,POKER FACE
64,DIONNE BROMFIELD,MAMA SAID
65,DAUGHTRY,WHAT ABOUT NOW
66,EXAMPLE,WATCH THE SUN COME UP
67,BLACK EYED PEAS,BOOM BOOM POW
68,LADY GAGA,LOVEGAME
69,IAN CAREY PROJECT,GET SHAKY
70,LITTLE BOOTS,REMEDY
71,OASIS,STOP CRYING YOUR HEART OUT
72,BEYONCE,SINGLE LADIES (PUT A RING ON IT)
73,DANIEL MERRIWEATHER,RED
74,BEYONCE,HALO
75,GUNS N' ROSES,SWEET CHILD O' MINE
76,MR HUDSON FT KANYE WEST,SUPERNOVA
77,SEAN KINGSTON,FIRE BURNING
78,LA ROUX,BULLETPROOF
79,MINI VIVA,LEFT MY HEART IN TOKYO
80,TINCHY STRYDER FT N-DUBZ,NUMBER 1
81,FOO FIGHTERS,EVERLONG
82,AEROSMITH,I DON'T WANT TO MISS A THING
83,MUSE,UPRISING
84,BEYONCE,LISTEN
85,DAVID GUETTA FT KELLY ROWLAND,WHEN LOVE TAKES OVER
86,PITBULL,I KNOW YOU WANT ME (CALLE OCHO)
87,BON JOVI,ALWAYS
88,BEYONCE,IF I WERE A BOY
89,KILLERS,HUMAN
90,PETER ANDRE,UNCONDITIONAL
91,MUMFORD & SONS,LITTLE LION MAN
92,TINCHY STRYDER FT AMELLE,NEVER LEAVE YOU
93,JENNIFER HUDSON,AND I AM TELLING YOU I'M NOT GOING
94,DIZZEE RASCAL/VAN HELDEN,BONKERS
95,LA ROUX,IN FOR THE KILL
96,FLEETWOOD MAC,GO YOUR OWN WAY
97,FOO FIGHTERS,BEST OF YOU
98,LEONA LEWIS,RUN
99,MICHAEL JACKSON,THRILLER
100,SWAY,MERCEDES BENZ
