positions,artists,titles
1,FALCO,ROCK ME AMADEUS
2,MADONNA,LIVE TO TELL
3,LEVEL 42,LESSONS IN LOVE
4,PATTI LABELLE AND MICHAEL MCDONALD,ON MY OWN
5,JANET JACKSON,WHAT HAVE YOU DONE FOR ME LATELY
6,GEORGE MICHAEL,A DIFFERENT CORNER
7,FIVE STAR,CAN'T WAIT ANOTHER MINUTE
8,MARVIN GAYE,I HEARD IT THROUGH THE GRAPEVINE {1986}
9,QUEEN,A KIND OF MAGIC
10,WHITNEY HOUSTON,THE GREATEST LOVE OF ALL
11,SPITTING IMAGE,THE CHICKEN SONG
12,GRANGE HILL CAST,JUST SAY NO
13,AURRA,YOU AND ME TONIGHT
14,BIG COUNTRY,LOOK AWAY
15,PETER GABRIEL,SLEDGEHAMMER
16,PRINCESS,I'LL KEEP ON LOVING YOU
17,ATLANTIC STARR,SECRET LOVERS
18,JOYCE SIMS,ALL AND ALL
19,THE SOS BAND,THE FINEST
20,SIMPLE MINDS,ALL THE THINGS SHE SAID
21,CLIFF RICHARD AND THE YOUNG ONES,LIVING DOLL
22,VAN HALEN,WHY CAN'T THIS BE LOVE
23,THE CURE,BOYS DON'T CRY
24,SAMANTHA FOX,TOUCH ME (I WANT YOUR BODY)
25,SAM COOKE,WONDERFUL WORLD {1986}
26,DIRE STRAITS,YOUR LATEST TRICK
27,BILLY OCEAN,THERE'LL BE SAD SONGS (TO MAKE YOU CRY)
28,REAL THING,YOU TO ME ARE EVERYTHING (THE DECADE REMIX 76/86)
29,HEAR 'N AID,STARS
30,DEPECHE MODE,A QUESTION OF LUST
31,SUZANNE VEGA,MARLENE ON THE WALL {1986}
32,IT'S IMMATERIAL,DRIVING AWAY FROM HOME (JIM'S TUNE)
33,MAXI PRIEST,STROLLIN' ON
34,FORCE MDS,TENDER LOVE
35,THE B-52S,ROCK LOBSTER/PLANET CLAIRE
36,A-HA,TRAIN OF THOUGHT
37,MATCHROOM MOB WITH CHAS AND DAVE,SNOOKER LOOPY
38,ZZ TOP,ROUGH BOY
39,KATE BUSH,THE BIG SKY
40,DOCTOR AND THE MEDICS,SPIRIT IN THE SKY
41,BELOUIS SOME,SOME PEOPLE {1986}
42,WE'VE GOT A FUZZBOX AND WE'RE GONNA USE IT,RULES AND REGULATIONS (EP)
43,THE BANGLES,IF SHE KNEW WHAT SHE WANTS
44,BIG AUDIO DYNAMITE,E = MC2
45,JAKI GRAHAM,SET ME FREE
46,TAVARES,IT ONLY TAKES A MINUTE
47,DIANA ROSS,EXPERIENCE
48,LICK THE TINS,CAN'T HELP FALLING IN LOVE
49,PETE WYLIE,SINFUL
50,ORCHESTRAL MANOEUVRES IN THE DARK,IF YOU LEAVE
51,INXS,WHAT YOU NEED
52,ART OF NOISE FEATURING DUANE EDDY,PETER GUNN FT DUANE EDDY
53,SHALAMAR,A NIGHT TO REMEMBER {1986}
54,JOE FAGIN,BACK WITH THE BOYS AGAIN/GET IT RIGHT
55,BRONSKI BEAT,"C'MON, C'MON"
56,HUEY LEWIS AND THE NEWS,THE HEART OF ROCK AND ROLL
57,HIPSWAY,ASK THE LORD {1986}
58,CACTUS WORLD NEWS,WORLDS APART
59,SINITTA,SO MACHO/CRUISING
60,ARETHA FRANKLIN,FREEWAY OF LOVE {1986}
61,DIANA ROSS,CHAIN REACTION
62,ST. JOHN'S COLLEGE SCHOOL CHOIR AND THE BAND OF THE GRENADIER GUARDS,THE QUEEN'S BIRTHDAY SONG
63,ROBERT PALMER,ADDICTED TO LOVE
64,THE STYLE COUNCIL,HAVE YOU EVER HAD IT BLUE
65,DAVID BOWIE,ABSOLUTE BEGINNERS
66,NICK HEYWARD,ALL OVER THE WEEKEND
67,WAX,RIGHT BETWEEN THE EYES
68,TOTAL CONTRAST,WHAT YOU GONNA DO ABOUT IT
69,THE RAMONES,SOMETHING TO BELIEVE IN/SOMEBODY PUT SOMETHING IN MY DRINK
70,FOSTER & ALLEN,AFTER ALL THESE YEARS
71,BLANCMANGE,I CAN SEE IT
72,THE ALARM,KNIFE EDGE
73,JOHN COUGAR MELLENCAMP,ROCK IN THE USA
74,BRYAN FERRY,IS YOUR LOVE STRONG ENOUGH
75,SAM COOKE,ANOTHER SATURDAY NIGHT {1986}
76,MODERN-NIQUE FEATURING LARRY WOO,LOVE'S GONNA GET YOU FT LARRY WOO
77,TED CHIPPINGTON,SHE LOVES YOU
78,CRAMPS,WHAT'S INSIDE A GIRL
79,PUBLIC IMAGE LIMITED,HOME
80,BLOW MONKEYS,WICKED WAYS
81,JOAN ARMATRADING,KIND WORDS (AND A REAL GOOD HEART)
82,WILLIAM BELL,HEADLINE NEWS
83,ELECTRIC LIGHT ORCHESTRA,SO SERIOUS
84,PSYCHIC TV AND THE ANGELS OF LIGHT,GODSTAR
85,ERASURE,OH L'AMOUR
86,HEAVEN 17 FEATURING JIMMY RUFFIN,THE FOOLISH THING TO DO FT JIMMY RUFFIN
87,IMAGINATION,SUNSHINE
88,LIVERPOOL FOOTBALL TEAM 1986,SITTIN' ON TOP OF THE WORLD
89,LIMAHL,LOVE IN YOUR EYES
90,JOURNEY,BE GOOD TO YOURSELF
91,JAMES BROWN,SOUL POWER/IT'S A MAN'S WORLD
92,THE ROLLING STONES,HARLEM SHUFFLE
93,SHIRLEY BASSEY,TO ALL THE MEN I'VE LOVED BEFORE
94,MIAMI SOUND MACHINE,BAD BOY
95,SIMPLE MINDS,DON'T YOU (FORGET ABOUT ME)
96,JENNIFER RUSH,DESTINY
97,CONTROLLERS,STAY
98,HAZELL DEAN,ESP
99,RYDER,RUNNER IN THE NIGHT
100,MIKE OLDFIELD AND JON ANDERSON,SHINE
