positions,artists,titles
1,X FACTOR FINALISTS 2011,WISHING ON A STAR
2,OLLY MURS,DANCE WITH ME TONIGHT
3,RIHANNA FT CALVIN HARRIS,WE FOUND LOVE
4,FLO RIDA,GOOD FEELING
5,AVICII,LEVELS
6,LABRINTH FT TINIE TEMPAH,EARTHQUAKE
7,ED SHEERAN,LEGO HOUSE
8,JESSIE J,WHO YOU ARE
9,KELLY ROWLAND FT THE WAVS,DOWN FOR WHATEVER
10,MAROON 5 FT CHRISTINA AGUILERA,MOVES LIKE JAGGER
11,DRAKE FT RIHANNA,TAKE CARE
12,COLDPLAY,PARADISE
13,LMFAO,SEXY AND I KNOW IT
14,BRUNO MARS,IT WILL RAIN
15,JASON DERULO,FIGHT FOR YOU
16,LADY GAGA,MARRY THE NIGHT
17,CHARLENE SORAIA,WHEREVER YOU WILL GO
18,CHRISTINA PERRI,JAR OF HEARTS
19,PROFESSOR GREEN FT EMELI SANDE,READ ALL ABOUT IT
20,DAVID GUETTA FT USHER,WITHOUT YOU
21,EMELI SANDE,DADDY
22,OLLY MURS FT RIZZLE KICKS,HEART SKIPS A BEAT
23,POGUES FT KIRSTY MACCOLL,FAIRYTALE OF NEW YORK
24,ONE DIRECTION,WHAT MAKES YOU BEAUTIFUL
25,ONE DIRECTION,GOTTA BE YOU
26,KATY PERRY,THE ONE THAT GOT AWAY
27,MARIAH CAREY,ALL I WANT FOR CHRISTMAS IS YOU
28,BEYONCE,LOVE ON TOP
29,KELLY CLARKSON,MR KNOW IT ALL
30,REBECCA FERGUSON,NOTHING'S REAL BUT LOVE
31,SLOW MOVING MILLIE,"PLEASE, PLEASE, PLEASE, LET ME GET WHAT"
32,LANA DEL REY,VIDEO GAMES
33,FLORENCE & THE MACHINE,SHAKE IT OUT
34,ED SHEERAN,THE A TEAM
35,LOICK ESSIEN,ME WITHOUT YOU
36,EXAMPLE,MIDNIGHT RUN
37,JLS,TAKE A CHANCE ON ME
38,CHRISTINA PERRI,A THOUSAND YEARS
39,BRUNO MARS,MARRY YOU
40,RIHANNA,YOU DA ONE
41,CHER LLOYD FT MIKE POSNER,WITH UR LOVE
42,WANTED,LIGHTNING
43,GYM CLASS HEROES/ADAM LEVINE,STEREO HEARTS
44,NICKELBACK,WHEN WE STAND TOGETHER
45,LUCENZO & QWOTE,DANZA KUDURO
46,SATURDAYS,MY HEART TAKES OVER
47,RIHANNA FT JAY-Z,TALK THAT TALK
48,JAMES MORRISON FT JESSIE J,UP
49,ADELE,SOMEONE LIKE YOU
50,EN VOGUE,DON'T LET GO (LOVE)
51,ADELE,SET FIRE TO THE RAIN
52,LADY GAGA,THE EDGE OF GLORY
53,JLS,DO YOU FEEL WHAT I FEEL
54,SEAN PAUL FT ALEXIS JORDAN,GOT 2 LUV U
55,WHAM,LAST CHRISTMAS
56,DAPPY,NO REGRETS
57,PIXIE LOTT,ALL ABOUT TONIGHT
58,WIZZARD,I WISH IT COULD BE CHRISTMAS EVERYDAY
59,JAMES MORRISON,I WON'T LET YOU GO
60,WILL YOUNG,JEALOUSY
61,GOO GOO DOLLS,IRIS
62,BAND AID,DO THEY KNOW IT'S CHRISTMAS
63,SLADE,MERRY XMAS EVERYBODY
64,FOSTER THE PEOPLE,PUMPED UP KICKS
65,PIXIE LOTT FT PUSHA T,WHAT DO YOU TAKE ME FOR
66,NICKI MINAJ,SUPER BASS
67,WANTED,WARZONE
68,JESSIE J FT BOB,PRICE TAG
69,BAD MEETS EVIL FT BRUNO MARS,LIGHTERS
70,ADELE,ROLLING IN THE DEEP
71,LMFAO/LAUREN BENNETT/GOONROCK,PARTY ROCK ANTHEM
72,SHAKIN' STEVENS,MERRY CHRISTMAS EVERYONE
73,SAK NOEL,LOCA PEOPLE
74,CEE LO GREEN,ANYWAY
75,SNOW PATROL,THIS ISN'T EVERYTHING YOU ARE
76,JAMES VINCENT MCMORROW,HIGHER LOVE
77,MAVERICK SABRE,I NEED
78,RIZZLE KICKS,DOWN WITH THE TRUMPETS
79,BEN HOWARD,THE FEAR
80,NOEL GALLAGHER'S HIGH FLYING,AKA WHAT A LIFE
81,KELLY ROWLAND FT BIG SEAN,LAY IT ON ME
82,CALVIN HARRIS,FEEL SO CLOSE
83,ED SHEERAN,YOU NEED ME I DON'T NEED YOU
84,RIZZLE KICKS,WHEN I WAS A YOUNGSTER
85,ADELE,RUMOUR HAS IT
86,SNOW PATROL,CHASING CARS
87,AFROJACK & STEVE AOKI,NO BEEF
88,GLEE CAST,RUMOUR HAS IT/SOMEONE LIKE YOU
89,MASSIVE ATTACK,TEARDROP
90,WILL YOUNG,COME ON
91,CHRIS REA,DRIVING HOME FOR CHRISTMAS
92,DELILAH,GO
93,DEEP BLUE SOMETHING,BREAKFAST AT TIFFANY'S
94,RIHANNA,WHERE HAVE YOU BEEN
95,JASON DERULO,IT GIRL
96,BEYONCE,COUNTDOWN
97,RIZZLE KICKS,MAMA DO THE HUMP
98,CALLING,WHEREVER YOU WILL GO
99,KASABIAN,RE-WIRED
100,LADY GAGA,BORN THIS WAY
