positions,artists,titles
1,CRAIG DAVID,FILL ME IN
2,SWEET FEMALE ATTITUDE,FLOWERS
3,RICHARD ASHCROFT,A SONG FOR THE LOVERS
4,STEPS,DEEPER SHADE OF BLUE
5,BLOODHOUND GANG,THE BAD TOUCH
6,LOCK 'N' LOAD,BLOW YA MIND
7,MELANIE C/LISA LEFT EYE LOPES,NEVER BE THE SAME AGAIN
8,WESTLIFE,FOOL AGAIN
9,DESTINY'S CHILD,SAY MY NAME
10,RANK 1,AIRWAVE
11,MOLOKO,THE TIME IS NOW
12,SANTANA FT ROB THOMAS,SMOOTH
13,BASEMENT JAXX,BINGO BANGO
14,DR DRE FT SNOOP DOGG,STILL DRE
15,BLINK 182,ALL THE SMALL THINGS
16,CHICANE FT BRYAN ADAMS,DON'T GIVE UP
17,MADONNA,AMERICAN PIE
18,ALL SAINTS,PURE SHORES
19,GERI HALLIWELL,BAG IT UP
20,LENE MARLIN,SITTING DOWN HERE
21,ATOMIC KITTEN,SEE YA
22,ANGIE STONE,LIFE STORY
23,DANIEL O'DONNELL,LIGHT A CANDLE
24,LONESTAR,AMAZED
25,N'N'G FT KALLAGHAN,RIGHT BEFORE MY EYES
26,ATB,KILLER
27,MONTELL JORDAN,GET IT ON TONITE
28,SAVAGE GARDEN,CRASH AND BURN
29,VENGABOYS,SHALALA LALA
30,M2M,DON'T SAY YOU LOVE ME
31,PRECIOUS,REWIND
32,ARTFUL DODGER & ROMINA JOHNSON,MOVIN TOO FAST
33,CHERIE AMORE,I DON'T WANT NOBODY
34,B'WITCHED,JUMP DOWN
35,CELINE DION,THE FIRST TIME EVER I SAW YOUR FACE
36,PUFF DADDY FT R KELLY,SATISFY YOU
37,NSYNC,BYE BYE BYE
38,JENNIFER LOPEZ,FEELIN' SO GOOD
39,WAMDUE PROJECT,YOU'RE THE REASON
40,RALPH FRIDGE,ANGEL
41,CHRISTINA AGUILERA,WHAT A GIRL WANTS
42,FIVE,DON'T WANNA LET YOU GO
43,RAGE AGAINST THE MACHINE,SLEEP NOW IN THE FIRE
44,TOM JONES & STEREOPHONICS,MAMA TOLD ME NOT TO COME
45,GABRIELLE,RISE
46,BACKSTREET BOYS,SHOW ME THE MEANING OF BEING LONELY
47,JAMELIA,MONEY
48,MOBY,NATURAL BLUES
49,IDLEWILD,ACTUALLY IT'S DARKNESS
50,MACY GRAY,STILL
51,BARKIN BROS FT JOHNNIE FIORI,GONNA CATCH YOU
52,A1,LIKE A ROSE
53,KELIS,CAUGHT OUT THERE
54,HONEYZ,WON'T TAKE IT LYING DOWN
55,WILL SMITH,FREAKIN' IT
56,OASIS,GO LET IT OUT
57,DAPHNE & CELESTE,OOH STICK YOU!
58,MARIAH CAREY,THANK GOD I FOUND YOU
59,STEPS,SAY YOU'LL BE MINE/BETTER THE DEVIL..
60,EIFFEL 65,MOVE YOUR BODY
61,BECK,MIXED BIZNESS
62,SOULSEARCHER,DO IT TO ME AGAIN
63,AQUA,CARTOON HEROES
64,VENGABOYS,KISS (WHEN THE SUN DON'T SHINE)
65,AC/DC,STIFF UPPER LIP
66,WESTLIFE,I HAVE A DREAM/SEASONS IN THE SUN
67,SHANIA TWAIN,DON'T BE STUPID (YOU KNOW I LOVE YOU)
68,BRITNEY SPEARS,BORN TO MAKE YOU HAPPY
69,MADASUN,DON'T YOU WORRY
70,SASH!,ADELANTE
71,TOPLOADER,DANCING IN THE MOONLIGHT
72,ANDREAS JOHNSON,GLORIOUS
73,TALL PAUL,FREEBASE
74,YOMANDA,SUNSHINE
75,LULU,WHERE THE POOR BOYS DANCE
76,NORTHERN LINE,LOVE ON THE NORTHERN LINE
77,REBECCA WHEATLEY,STAY WITH ME (BABY)
78,BLU PETER,FUNKY SUITE
79,OOBERMAN,SHORLEY WALL
80,SISQO,GOT TO GET IT
81,BUG,SO WHAT
82,CROCKETTS,HOST
83,QUIVVER,SHE DOES
84,CRW,I FEEL LOVE
85,SCANTY SANDWICH,BECAUSE OF YOU
86,EELS,MR E'S BEAUTIFUL BLUES
87,R KELLY,IF I COULD TURN BACK THE HANDS OF TIME
88,DEATH IN VEGAS,AISHA
89,NU GENERATION,IN YOUR ARMS (RESCUE ME)
90,MELT FT LITTLE MS MARCIE,HARD HOUSE MUSIC
91,AIR/GORDON TRACKS,PLAYGROUND LOVE
92,AMANDA GHOST,IDOL
93,99TH FLOOR ELEVATORS,HOOKED
94,JOEY NEGRO FT TAKA BOOM,MUST BE THE MUSIC
95,ALICE DEEJAY,BACK IN MY LIFE
96,LEN,STEAL MY SUNSHINE
97,HEPBURN,DEEP DEEP DOWN
98,SIMPLY RED,YOUR EYES
99,NOVY VS ENIAC,PUMPIN
100,BODY SHOCK,FULL MOON
