positions,artists,titles
1,WIZ KHALIFA FT CHARLIE PUTH,SEE YOU AGAIN
2,OMI,CHEERLEADER
3,JESS GLYNNE,HOLD MY HAND
4,CLEAN BANDIT,STRONGER
5,NICK JONAS,JEALOUS
6,MAJOR LAZER FT MO & DJ SNAKE,LEAN ON
7,YEARS & YEARS,KING
8,KYGO FT CONRAD SEWELL,FIRESTONE
9,MAROON 5,SUGAR
10,DR KUCHO/GREGOR SALTO/ANE BRUN,CAN'T STOP PLAYING (MAKES ME HIGH)
11,JAMES BAY,HOLD BACK THE RIVER
12,MARK RONSON FT BRUNO MARS,UPTOWN FUNK
13,IGGY AZALEA FT JENNIFER HUDSON,TROUBLE
14,ED SHEERAN,BLOODSTREAM
15,RIHANNA/KANYE WEST/MCCARTNEY,FOURFIVE SECONDS
16,HOZIER,TAKE ME TO CHURCH
17,MICHAEL CALFAN,TREASURED SOUL
18,ELLIE GOULDING,LOVE ME LIKE YOU DO
19,FLO RIDA FT SAGE THE GEMINI,GDFR
20,CHRIS BROWN & TYGA,AYO
21,USHER FT JUICY J,I DON'T MIND
22,LETHAL BIZZLE FT DIZTORTION,FESTER SKANK
23,MARLON ROUDETTE,WHEN THE BEAT DROPS OUT
24,SIA,ELASTIC HEART
25,MEGHAN TRAINOR,DEAR FUTURE HUSBAND
26,ED SHEERAN,THINKING OUT LOUD
27,WEEKND,EARNED IT
28,DAVID GUETTA FT EMELI SANDE,WHAT I DID FOR LOVE
29,AVICII,THE NIGHTS
30,KODALINE,THE ONE
31,PITBULL FT NE-YO,TIME OF OUR LIVES
32,SKRILLEX & DIPLO/JUSTIN BIEBER,WHERE ARE U NOW
33,KELLY CLARKSON,HEARTBEAT SONG
34,DJ FRESH FT ELLA EYRE,GRAVITY
35,SAM SMITH,LAY ME DOWN
36,KAREN HARDING,SAY SOMETHING
37,SIA,CHANDELIER
38,PHILIP GEORGE,WISH YOU WERE MINE
39,TOUGH LOVE,SO FREAKIN' TIGHT
40,OLLY MURS FT DEMI LOVATO,UP
41,TAYLOR SWIFT,STYLE
42,RIHANNA,BITCH BETTER HAVE MY MONEY
43,SAM SMITH,LIKE I CAN
44,CONOR MAYNARD,TALKING ABOUT
45,MUMFORD & SONS,BELIEVE
46,ALESSO FT TOVE LO,HEROES (WE COULD BE)
47,MEGHAN TRAINOR,LIPS ARE MOVIN
48,GEORGE EZRA,BUDAPEST
49,CALVIN HARRIS/ELLIE GOULDING,OUTSIDE
50,SAM SMITH,STAY WITH ME
51,SIGMA FT LABRINTH,HIGHER
52,SAM SMITH FT JOHN LEGEND,LAY ME DOWN
53,KYGO FT PARSON JAMES,STOLE THE SHOW
54,PEP & RASH,RUMORS
55,LILLY WOOD & ROBIN SCHULZ,PRAYER IN C
56,MARKUS FEEHILY,LOVE IS A DRUG
57,CLEAN BANDIT FT JESS GLYNNE,RATHER BE
58,JAMES BAY,LET IT GO
59,CLEAN BANDIT FT JESS GLYNNE,REAL LOVE
60,MUMFORD & SONS,SNAKE EYES
61,JESSIE J/GRANDE/MINAJ,BANG BANG
62,JESSIE WARE,SAY YOU LOVE ME
63,HOZIER,SOMEONE NEW
64,SAM SMITH,I'M NOT THE ONLY ONE
65,ARIANA GRANDE,ONE LAST TIME
66,JOHN LEGEND,ALL OF ME
67,ALEX ADAIR,MAKE ME FEEL BETTER
68,MEGHAN TRAINOR,ALL ABOUT THAT BASS
69,BLONDE FT MELISSA STEEL,I LOVED YOU
70,ED SHEERAN,DON'T
71,RIHANNA,AMERICAN OXYGEN
72,FETTY WAP,TRAP QUEEN
73,KILLERS,MR BRIGHTSIDE
74,KANYE WEST/LONDON/KINGDOM,ALL DAY
75,OMARION/CHRIS BROWN/JHENE AIKO,POST TO BE
76,TAYLOR SWIFT,BLANK SPACE
77,CALVIN HARRIS FT HAIM,PRAY TO GOD
78,TAYLOR SWIFT,SHAKE IT OFF
79,ECHOSMITH,COOL KIDS
80,VANCE JOY,RIPTIDE
81,PANIC AT THE DISCO,HALLELUJAH
82,MR PROBZ,WAVES
83,CALVIN HARRIS FT JOHN NEWMAN,BLAME
84,PHARRELL WILLIAMS,HAPPY
85,DAVID GUETTA FT SAM MARTIN,DANGEROUS
86,CHARLI XCX FT RITA ORA,DOING IT
87,ELLA HENDERSON,GHOST
88,MUMFORD & SONS,THE WOLF
89,GEORGE EZRA,BLAME IT ON ME
90,OLLY MURS,SEASONS
91,TAKE THAT,THESE DAYS
92,FERGIE,L.A.LOVE (LA LA)
93,DAPPY,BEAUTIFUL ME
94,YG/WALE/TYGA/RICH HOMIE QUAN,RIDE OUT
95,ED SHEERAN,SING
96,BEN HAENOW,SOMETHING I NEED
97,SIA,BIG GIRLS CRY
98,DAVID GUETTA/N MINAJ/AFROJACK,HEY MAMA
99,SIGMA FT PALOMA FAITH,CHANGING
100,KENDRICK LAMAR,KING KUNTA
