positions,artists,titles
1,JIM REEVES,DISTANT DRUMS
2,THE WHO,I'M A BOY
3,THE SUPREMES,YOU CAN'T HURRY LOVE
4,SONNY AND CHER,LITTLE MAN
5,ROY ORBISON,TOO SOON TO KNOW
6,"DAVE DEE, DOZY, BEAKY, MICK AND TICH",BEND IT!
7,NEW VAUDEVILLE BAND,WINCHESTER CATHEDRAL
8,THE SMALL FACES,ALL OR NOTHING
9,THE BEATLES,YELLOW SUBMARINE/ELEANOR RIGBY
10,SEEKERS,WALK WITH ME
11,DUSTY SPRINGFIELD,ALL I SEE IS YOU
12,DAVID AND JONATHAN,LOVERS OF THE WORLD UNITE
13,LEE DORSEY,WORKING IN THE COAL MINE
14,BOBBY HEBB,SUNNY
15,CLIFF BENNETT AND THE REBEL ROUSERS,GOT TO GET YOU INTO MY LIFE
16,THE BEACH BOYS,GOD ONLY KNOWS
17,THE ROLLING STONES,HAVE YOU SEEN YOUR MOTHER BABY STANDING IN THE SHADOW
18,SANDPIPERS,GUANTANAMERA
19,SPENCER DAVIS GROUP,WHEN I COME HOME
20,MINDBENDERS,ASHES TO ASHES
21,LOS BRAVOS,I DON'T CARE
22,GEORGIE FAME,SUNNY
23,WALKER BROTHERS,ANOTHER TEAR FALLS
24,WILSON PICKETT,LAND OF A THOUSAND DANCES
25,DAVE BERRY,MAMA
26,JUNIOR WALKER AND THE ALL STARS,HOW SWEET IT IS
27,NAPOLEON XIV,THEY'RE COMING TO TAKE ME AWAY HA-HAA
28,MANFRED MANN,JUST LIKE A WOMAN
29,KEN DODD,MORE THAN LOVE
30,PETER AND GORDON,LADY GODIVA
31,ZOOT MONEY AND THE BIG ROLL BAND,BIG TIME OPERATOR
32,THE MAMAS AND THE PAPAS,I SAW HER AGAIN
33,OTIS REDDING,I CAN'T TURN YOU LOOSE
34,MIKE SAMMES SINGERS,SOMEWHERE MY LOVE
35,CLIFF RICHARD,VISIONS
36,DAVID GARRICK,DEAR MRS. APPLEBEE
37,CHER,SUNNY
38,SANDY POSEY,BORN A WOMAN
39,SANDIE SHAW,RUN
40,ANDY WILLIAMS,IN THE ARMS OF LOVE
41,FRANK SINATRA,SUMMER WIND
42,THE FOUR SEASONS,I'VE GOT YOU UNDER MY SKIN
43,TROGGS,I CAN'T CONTROL MYSELF
44,ALAN PRICE SET,"HI-LILI, HI-LO"
45,THE FOUR TOPS,LOVING YOU IS SWEETER THAN EVER
46,CHRIS MONTEZ,THERE WILL NEVER BE ANOTHER YOU
47,CRISPIAN ST PETERS,CHANGES
48,TROGGS,WITH A GIRL LIKE YOU
49,PAUL AND BARRY RYAN,HAVE YOU EVER LOVED SOMEBODY?
50,MARVIN GAYE,LITTLE DARLIN' (I NEED YOU)
