positions,artists,titles
1,KRAFTWERK,THE MODEL/COMPUTER LOVE
2,SHAKIN' STEVENS,OH JULIE
3,THE STRANGLERS,GOLDEN BROWN
4,BUCKS FIZZ,THE LAND OF MAKE BELIEVE
5,MEAT LOAF,DEAD RINGER FOR LOVE
6,ORCHESTRAL MANOEUVRES IN THE DARK,MAID OF ORLEANS (THE WALTZ OF JOAN OF ARC)
7,CHRISTOPHER CROSS,ARTHUR'S THEME (THE BEST THAT YOU CAN DO)
8,KOOL AND THE GANG,GET DOWN ON IT
9,MOBILES,DROWNING IN BERLIN
10,THE HUMAN LEAGUE,BEING BOILED
11,JON AND VANGELIS,I'LL FIND MY WAY HOME
12,SHAKATAK,EASIER SAID THAN DONE
13,FOREIGNER,WAITING FOR A GIRL LIKE YOU
14,AC/DC,LET'S GET IT UP
15,XTC,SENSES WORKING OVERTIME
16,DOLLAR,MIRROR MIRROR (MON AMOUR)
17,ALTERED IMAGES,I COULD BE HAPPY
18,THE FOUR TOPS,DON'T WALK AWAY
19,BROWN SAUCE,I WANNA BE A WINNER
20,SOFT CELL,SAY HELLO WAVE GOODBYE
21,GEORGE BENSON,NEVER GIVE UP ON A GOOD THING
22,THE HUMAN LEAGUE,DON'T YOU WANT ME
23,ALTON EDWARDS,I JUST WANNA (SPEND SOME TIME WITH YOU)
24,PHIL LYNOTT,YELLOW PEARL {1981 RE-RELEASE}
25,GILLAN,RESTLESS
26,ELECTRIC LIGHT ORCHESTRA,HERE IS THE NEWS/TICKET TO THE MOON
27,DARYL HALL AND JOHN OATES,I CAN'T GO FOR THAT (NO CAN DO)
28,MADNESS,IT MUST BE LOVE
29,TIGHT FIT,THE LION SLEEPS TONIGHT
30,ABBA,ONE OF US
31,JAPAN,EUROPEAN SON
32,ADAM & THE ANTS,ANT RAP
33,STIFF LITTLE FINGERS,LISTEN
34,MIKE POST AND LARRY CARLTON,THEME FROM 'HILL STREET BLUES'
35,RHODA WITH THE SPECIAL A.K.A.,THE BOILER
36,HAIRCUT 100,LOVE PLUS ONE
37,LINDSEY BUCKINGHAM,TROUBLE
38,ROD STEWART,YOUNG TURKS
39,STEVIE WONDER,THAT GIRL
40,THEATRE OF HATE,DO YOU BELIEVE IN THE WESTWORLD
41,ELKIE BROOKS,FOOL IF YOU THINK IT'S OVER
42,DIANA ROSS,MIRROR MIRROR
43,SOFT CELL,TAINTED LOVE
44,OLIVIA NEWTON-JOHN,LANDSLIDE
45,"EARTH, WIND AND FIRE",I'VE HAD ENOUGH
46,TWEETS,THE BIRDIE SONG (BIRDIE DANCE)
47,THE JETS,LOVE MAKES THE WORLD GO ROUND
48,ANTI-NOWHERE LEAGUE,STREETS OF LONDON
49,SPANDAU BALLET,SHE LOVED LIKE DIAMOND
50,BOW WOW WOW,GO WILD IN THE COUNTRY
51,JOAN ARMATRADING,NO LOVE
52,STATUS QUO,ROCK 'N' ROLL
53,D TRAIN,YOU'RE THE ONE FOR ME
54,MODERN ROMANCE,QUEEN OF THE RAPPING SCENE (NOTHING EVER GOES THE WAY YOU PLAN)
55,CENTRAL LINE,DON'T TELL ME
56,IMAGINATION,FLASHBACK
57,STARGAZERS,GROOVE BABY GROOVE
58,TOM BROWNE,FUNGI MAMA
59,DURAN DURAN,MY OWN WAY
60,HAZEL O'CONNOR,CALLS THE TUNE
61,RUSS ABBOT,A DAY IN THE LIFE OF VINCE PRINCE
62,UFO,LET IT RAIN
63,GBH,NO SURVIVORS
64,TONI BASIL,MICKEY
65,THE MOOD,DON'T STOP
66,BARBRA STREISAND,COMIN' IN AND OUT OF YOUR LIFE
67,SAMMY HAGAR,PIECE OF MY HEART
68,ORANGE JUICE,FELICITY
69,PLACIDO DOMINGO WITH JOHN DENVER,PERHAPS LOVE
70,ELAINE PAIGE,MEMORY
71,BOB SEGER,WE'VE GOT TONIGHT
72,CLIFF RICHARD,DADDY'S HOME
73,ADRIAN GURVITZ,CLASSIC
74,THE HUMAN LEAGUE,HOLIDAY 80 (EP)
75,DIANA ROSS,TENDERNESS
