positions,artists,titles
1,CONNIE FRANCIS,STUPID CUPID/CAROLINA MOON
2,DEAN MARTIN,VOLARE
3,KALIN TWINS,WHEN
4,RICKY NELSON,POOR LITTLE FOOL
5,THE EVERLY BROTHERS,BIRD DOG
6,BERNARD BRESSLAW,MAD PASSIONATE LOVE
7,DEAN MARTIN,RETURN TO ME
8,CHARLIE DRAKE,SPLISH SPLASH
9,ELVIS PRESLEY,KING CREOLE
10,PEGGY LEE,FEVER
11,PONI-TAILS,BORN TOO LATE
12,CLIFF RICHARD AND THE DRIFTERS,MOVE IT
13,PEREZ 'PREZ' PRADO,PATRICIA
14,JOHNNY MATHIS,A CERTAIN SMILE
15,THE EVERLY BROTHERS,ALL I HAVE TO DO IS DREAM/CLAUDETTE
16,MARTY WILDE,ENDLESS SLEEP
16,PAT BOONE,IF DREAMS CAME TRUE
18,TONY BRENT,GIRL OF MY DREAMS
19,MAX BYGRAVES,TULIPS FROM AMSTERDAM/YOU NEED HANDS
20,JOE 'MR PIANO' HENDERSON,TRUDIE
20,PERRY COMO,MOON TALK
22,DOMENICO MODUGNO,VOLARE
23,COASTERS,YAKETY YAK
24,DUANE EDDY AND THE REBELS,REBEL ROUSER
25,TOMMY EDWARDS,IT'S ALL IN THE GAME
26,MARINO MARINI AND HIS QUARTET,VOLARE (NEL BLU DIPINTO DI BLU)
27,OLYMPICS,WESTERN MOVIES
28,HARRY BELAFONTE,LITTLE BERNADETTE
29,ELEGANTS,LITTLE STAR
30,ELVIS PRESLEY,HARD HEADED WOMAN
